,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,GBC-0001,0.55,0.0,0.0,0.0,0.008195877075195312
1,GBC-0002,0.8625,0.8450793650793651,0.8396551724137931,0.852577888061759,0.008391571044921876
2,GBC-0003,0.55,0.0,0.0,0.0,0.008398056030273438
3,GBC-0004,0.55,0.0,0.0,0.0,0.011217260360717773
4,GBC-0005,0.55,0.0,0.0,0.0,0.008401823043823243
5,GBC-0006,0.55,0.0,0.0,0.0,0.01071615219116211
6,GBC-0007,0.55,0.0,0.0,0.0,0.010801410675048828
7,GBC-0008,0.55,0.0,0.0,0.0,0.011780357360839844
8,GBC-0009,0.978125,0.9760273565269104,0.9928571428571429,0.9599703374119393,0.007214164733886719
9,GBC-0010,0.55,0.0,0.0,0.0,0.006116151809692383
10,GBC-0011,1.0,1.0,1.0,1.0,0.00839982032775879
11,GBC-0012,0.55,0.0,0.0,0.0,0.007222986221313477
12,GBC-0013,0.975,0.9723973727422003,0.9790640394088669,0.9661608136024153,0.009607648849487305
13,GBC-0014,0.55,0.0,0.0,0.0,0.007002067565917969
14,GBC-0015,0.55,0.0,0.0,0.0,0.0072132587432861325
15,GBC-0016,0.55,0.0,0.0,0.0,0.008609628677368164
16,GBC-0017,0.55,0.0,0.0,0.0,0.006910848617553711
17,GBC-0018,0.55,0.0,0.0,0.0,0.007205057144165039
18,GBC-0019,0.55,0.0,0.0,0.0,0.010809040069580078
19,GBC-0020,0.55,0.0,0.0,0.0,0.007199144363403321
20,GBC-0021,0.91875,0.9136411846779422,0.9583743842364532,0.8734860703812316,0.009533357620239259
21,GBC-0022,0.55,0.0,0.0,0.0,0.007729244232177734
22,GBC-0023,0.55,0.0,0.0,0.0,0.00882115364074707
23,GBC-0024,0.55,0.0,0.0,0.0,0.007207632064819336
24,GBC-0025,0.55,0.0,0.0,0.0,0.007111978530883789
25,GBC-0026,0.55,0.0,0.0,0.0,0.009413719177246094
26,GBC-0027,0.55,0.0,0.0,0.0,0.008402681350708008
27,GBC-0028,0.55,0.0,0.0,0.0,0.006601572036743164
28,GBC-0029,0.55,0.0,0.0,0.0,0.008407306671142579
29,GBC-0030,1.0,1.0,1.0,1.0,0.007728862762451172
