,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,LR-0001,1.0,1.0,1.0,1.0,0.006025934219360351
1,LR-0002,1.0,1.0,1.0,1.0,0.008218050003051758
2,LR-0003,1.0,1.0,1.0,1.0,0.007045173645019531
3,LR-0004,1.0,1.0,1.0,1.0,0.006399774551391601
4,LR-0005,1.0,1.0,1.0,1.0,0.006000995635986328
5,LR-0006,1.0,1.0,1.0,1.0,0.007847309112548828
6,LR-0007,1.0,1.0,1.0,1.0,0.005702400207519531
7,LR-0008,1.0,1.0,1.0,1.0,0.005902481079101562
8,LR-0009,1.0,1.0,1.0,1.0,0.005576372146606445
9,LR-0010,1.0,1.0,1.0,1.0,0.006320142745971679
10,LR-0011,1.0,1.0,1.0,1.0,0.008619403839111328
11,LR-0012,1.0,1.0,1.0,1.0,0.006579685211181641
12,LR-0013,1.0,1.0,1.0,1.0,0.006231069564819336
13,LR-0014,1.0,1.0,1.0,1.0,0.00822148323059082
14,LR-0015,1.0,1.0,1.0,1.0,0.008017921447753906
15,LR-0016,1.0,1.0,1.0,1.0,0.009775829315185548
16,LR-0017,1.0,1.0,1.0,1.0,0.008611774444580078
17,LR-0018,1.0,1.0,1.0,1.0,0.006199502944946289
18,LR-0019,1.0,1.0,1.0,1.0,0.003177928924560547
19,LR-0020,1.0,1.0,1.0,1.0,0.007096767425537109
20,LR-0021,1.0,1.0,1.0,1.0,0.003963994979858399
21,LR-0022,1.0,1.0,1.0,1.0,0.0058704853057861325
22,LR-0023,1.0,1.0,1.0,1.0,0.006000137329101563
23,LR-0024,1.0,1.0,1.0,1.0,0.007202053070068359
24,LR-0025,1.0,1.0,1.0,1.0,0.0048141956329345705
25,LR-0026,1.0,1.0,1.0,1.0,0.0060139656066894535
26,LR-0027,1.0,1.0,1.0,1.0,0.0060078144073486325
27,LR-0028,1.0,1.0,1.0,1.0,0.0060079097747802734
28,LR-0029,1.0,1.0,1.0,1.0,0.006313705444335937
29,LR-0030,1.0,1.0,1.0,1.0,0.008405017852783202
30,LR-0031,1.0,1.0,1.0,1.0,0.006002378463745117
31,LR-0032,1.0,1.0,1.0,1.0,0.005995750427246094
32,LR-0033,1.0,1.0,1.0,1.0,0.004602670669555664
33,LR-0034,1.0,1.0,1.0,1.0,0.006749534606933593
34,LR-0035,1.0,1.0,1.0,1.0,0.005597925186157227
35,LR-0036,1.0,1.0,1.0,1.0,0.005999422073364258
36,LR-0037,1.0,1.0,1.0,1.0,0.006535530090332031
37,LR-0038,1.0,1.0,1.0,1.0,0.008098220825195313
38,LR-0039,1.0,1.0,1.0,1.0,0.007451248168945312
39,LR-0040,1.0,1.0,1.0,1.0,0.00563516616821289
40,LR-0041,1.0,1.0,1.0,1.0,0.006003856658935547
41,LR-0042,1.0,1.0,1.0,1.0,0.005765247344970703
42,LR-0043,1.0,1.0,1.0,1.0,0.00600285530090332
43,LR-0044,1.0,1.0,1.0,1.0,0.007203054428100586
44,LR-0045,1.0,1.0,1.0,1.0,0.005486488342285156
45,LR-0046,1.0,1.0,1.0,1.0,0.0061701774597167965
46,LR-0047,1.0,1.0,1.0,1.0,0.006111288070678711
47,LR-0048,1.0,1.0,1.0,1.0,0.004802989959716797
48,LR-0049,1.0,1.0,1.0,1.0,0.006707239151000977
49,LR-0050,1.0,1.0,1.0,1.0,0.008572769165039063
50,LR-0051,1.0,1.0,1.0,1.0,0.00850534439086914
51,LR-0052,1.0,1.0,1.0,1.0,0.006004190444946289
52,LR-0053,1.0,1.0,1.0,1.0,0.00720367431640625
53,LR-0054,1.0,1.0,1.0,1.0,0.00780644416809082
54,LR-0055,1.0,1.0,1.0,1.0,0.007206487655639649
55,LR-0056,1.0,1.0,1.0,1.0,0.0060039997100830075
56,LR-0057,1.0,1.0,1.0,1.0,0.006003284454345703
57,LR-0058,1.0,1.0,1.0,1.0,0.006603860855102539
58,LR-0059,1.0,1.0,1.0,1.0,0.007565069198608399
59,LR-0060,0.984375,0.9820662768031188,0.9650246305418719,1.0,0.0072062015533447266
60,LR-0061,0.65625,0.43960739614994926,0.33226600985221677,0.803968253968254,0.006717252731323242
