,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,ID
0,1973,300,74.0,8.0,sqrt,29.0,gini,RFC-0001
1,1973,200,82.0,5.0,log2,64.0,gini,RFC-0002
2,1973,550,44.0,54.0,sqrt,84.0,entropy,RFC-0003
3,1973,100,33.0,3.0,log2,9.0,entropy,RFC-0004
4,1973,450,5.0,45.0,sqrt,59.0,entropy,RFC-0005
5,1973,150,0.1,27.0,log2,47.0,gini,RFC-0006
6,1973,500,17.0,43.0,log2,13.0,gini,RFC-0007
7,1973,500,13.0,38.0,log2,4.0,gini,RFC-0008
8,1973,200,49.0,36.0,sqrt,3.0,gini,RFC-0009
9,1973,350,30.0,51.0,log2,11.0,gini,RFC-0010
10,1973,350,55.0,3.0,sqrt,92.0,entropy,RFC-0011
11,1973,150,68.0,42.0,log2,70.0,gini,RFC-0012
12,1973,400,17.0,48.0,sqrt,5.0,entropy,RFC-0013
13,1973,100,95.0,90.0,sqrt,36.0,gini,RFC-0014
14,1973,150,9.0,10.0,sqrt,50.0,entropy,RFC-0015
15,1973,250,66.0,58.0,sqrt,16.0,entropy,RFC-0016
16,1973,450,8.0,88.0,sqrt,1.0,gini,RFC-0017
17,1973,550,93.0,81.0,log2,44.0,entropy,RFC-0018
18,1973,400,76.0,75.0,sqrt,78.0,entropy,RFC-0019
19,1973,350,24.0,46.0,sqrt,65.0,gini,RFC-0020
20,1973,100,2.0,65.0,log2,87.0,gini,RFC-0021
21,1973,200,77.0,72.0,log2,89.0,entropy,RFC-0022
22,1973,350,29.0,8.0,sqrt,55.0,gini,RFC-0023
23,1973,150,26.0,1.0,log2,18.0,entropy,RFC-0024
24,1973,350,13.0,46.0,log2,79.0,entropy,RFC-0025
25,1973,400,59.0,43.0,sqrt,87.0,entropy,RFC-0026
26,1973,150,82.0,40.0,log2,11.0,gini,RFC-0027
27,1973,150,38.0,54.0,sqrt,20.0,gini,RFC-0028
28,1973,350,53.0,58.0,log2,88.0,gini,RFC-0029
29,1973,450,82.0,89.0,log2,45.0,gini,RFC-0030
30,1973,450,95.0,35.0,sqrt,63.0,entropy,RFC-0031
31,1973,300,45.0,2.0,sqrt,62.0,gini,RFC-0032
32,1973,150,78.0,31.0,log2,67.0,entropy,RFC-0033
33,1973,550,74.0,10.0,sqrt,27.0,gini,RFC-0034
34,1973,350,4.0,0.1,sqrt,75.0,gini,RFC-0035
35,1973,250,42.0,98.0,log2,86.0,gini,RFC-0036
36,1973,450,49.0,52.0,log2,55.0,entropy,RFC-0037
37,1973,100,21.0,33.0,sqrt,8.0,entropy,RFC-0038
38,1973,150,75.0,15.0,log2,46.0,entropy,RFC-0039
39,1973,450,13.0,31.0,sqrt,87.0,entropy,RFC-0040
40,1973,550,24.0,57.0,log2,18.0,gini,RFC-0041
41,1973,300,30.0,11.0,log2,4.0,gini,RFC-0042
42,1973,300,0.4,65.0,sqrt,2.0,gini,RFC-0043
43,1973,200,67.0,98.0,sqrt,7.0,entropy,RFC-0044
44,1973,350,0.2,92.0,sqrt,84.0,gini,RFC-0045
45,1973,100,0.9,45.0,sqrt,3.0,entropy,RFC-0046
46,1973,150,57.0,34.0,sqrt,87.0,gini,RFC-0047
47,1973,250,77.0,85.0,sqrt,47.0,gini,RFC-0048
48,1973,300,0.2,30.0,log2,70.0,gini,RFC-0049
49,1973,150,28.0,30.0,sqrt,83.0,gini,RFC-0050
50,1973,100,0.1,67.0,sqrt,92.0,gini,RFC-0051
51,1973,450,65.0,42.0,log2,81.0,gini,RFC-0052
52,1973,550,52.0,6.0,sqrt,5.0,entropy,RFC-0053
53,1973,450,14.0,32.0,log2,28.0,gini,RFC-0054
54,1973,150,81.0,89.0,sqrt,77.0,gini,RFC-0055
55,1973,100,42.0,28.0,sqrt,21.0,entropy,RFC-0056
56,1973,400,75.0,85.0,log2,56.0,entropy,RFC-0057
57,1973,100,83.0,30.0,sqrt,3.0,entropy,RFC-0058
58,1973,450,92.0,46.0,sqrt,8.0,gini,RFC-0059
59,1973,150,75.0,88.0,log2,56.0,gini,RFC-0060
60,1973,500,82.0,84.0,sqrt,99.0,entropy,RFC-0061
61,1973,550,72.0,21.0,sqrt,30.0,entropy,RFC-0062
62,1973,100,17.0,75.0,log2,58.0,gini,RFC-0063
63,1973,100,70.0,54.0,sqrt,96.0,gini,RFC-0064
64,1973,250,0.2,84.0,sqrt,21.0,entropy,RFC-0065
65,1973,450,0.30000000000000004,5.0,log2,8.0,entropy,RFC-0066
66,1973,400,26.0,0.2,sqrt,63.0,gini,RFC-0067
67,1973,450,95.0,76.0,sqrt,94.0,entropy,RFC-0068
68,1973,250,63.0,0.4,log2,40.0,gini,RFC-0069
69,1973,350,25.0,73.0,log2,23.0,gini,RFC-0070
70,1973,200,73.0,33.0,log2,98.0,gini,RFC-0071
71,1973,450,20.0,79.0,sqrt,50.0,gini,RFC-0072
72,1973,100,23.0,2.0,log2,80.0,gini,RFC-0073
73,1973,150,92.0,78.0,sqrt,59.0,entropy,RFC-0074
74,1973,100,47.0,45.0,log2,19.0,entropy,RFC-0075
75,1973,150,28.0,85.0,sqrt,50.0,gini,RFC-0076
76,1973,550,0.9,61.0,log2,41.0,entropy,RFC-0077
77,1973,300,68.0,21.0,sqrt,50.0,gini,RFC-0078
78,1973,400,0.5,99.0,log2,98.0,gini,RFC-0079
79,1973,300,76.0,41.0,sqrt,19.0,gini,RFC-0080
80,1973,300,49.0,6.0,sqrt,69.0,entropy,RFC-0081
81,1973,450,77.0,74.0,log2,21.0,entropy,RFC-0082
82,1973,100,64.0,46.0,log2,39.0,gini,RFC-0083
83,1973,150,51.0,73.0,log2,64.0,gini,RFC-0084
84,1973,500,31.0,77.0,log2,15.0,entropy,RFC-0085
85,1973,150,21.0,40.0,log2,41.0,entropy,RFC-0086
86,1973,100,44.0,2.0,sqrt,92.0,entropy,RFC-0087
87,1973,450,11.0,67.0,sqrt,25.0,entropy,RFC-0088
88,1973,300,27.0,66.0,sqrt,55.0,gini,RFC-0089
89,1973,500,71.0,3.0,log2,35.0,gini,RFC-0090
90,1973,100,81.0,14.0,log2,,gini,RFC-0091
