,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,RFC-0001,0.55,0.0,0.0,0.0,0.05242490768432617
1,RFC-0002,0.55,0.0,0.0,0.0,0.034863615036010744
2,RFC-0003,0.55,0.0,0.0,0.0,0.08303098678588867
3,RFC-0004,0.865625,0.82607484212534,0.7285714285714285,0.9655042735042736,0.022151994705200195
4,RFC-0005,0.55,0.0,0.0,0.0,0.07692127227783203
5,RFC-0006,0.55,0.0,0.0,0.0,0.032224845886230466
6,RFC-0007,0.55,0.0,0.0,0.0,0.09516391754150391
7,RFC-0008,0.55,0.0,0.0,0.0,0.10771012306213379
8,RFC-0009,0.55,0.0,0.0,0.0,0.0448453426361084
9,RFC-0010,0.55,0.0,0.0,0.0,0.06497068405151367
10,RFC-0011,0.55,0.0,0.0,0.0,0.06291823387145996
11,RFC-0012,0.55,0.0,0.0,0.0,0.02965264320373535
12,RFC-0013,0.55,0.0,0.0,0.0,0.06975297927856446
13,RFC-0014,0.55,0.0,0.0,0.0,0.024000215530395507
14,RFC-0015,0.884375,0.8688563798908626,0.860591133004926,0.8789680841961154,0.03379697799682617
15,RFC-0016,0.55,0.0,0.0,0.0,0.056014394760131835
16,RFC-0017,0.55,0.0,0.0,0.0,0.08574986457824707
17,RFC-0018,0.55,0.0,0.0,0.0,0.09416894912719727
18,RFC-0019,0.55,0.0,0.0,0.0,0.08610744476318359
19,RFC-0020,0.55,0.0,0.0,0.0,0.0646444320678711
20,RFC-0021,0.55,0.0,0.0,0.0,0.020760536193847656
21,RFC-0022,0.55,0.0,0.0,0.0,0.035753822326660155
22,RFC-0023,0.890625,0.8782066193800449,0.8815270935960591,0.8768059822495307,0.06312999725341797
23,RFC-0024,0.95625,0.9537591859807799,1.0,0.9116666666666667,0.02890629768371582
24,RFC-0025,0.55,0.0,0.0,0.0,0.07821927070617676
25,RFC-0026,0.55,0.0,0.0,0.0,0.09124174118041992
26,RFC-0027,0.55,0.0,0.0,0.0,0.036791086196899414
27,RFC-0028,0.55,0.0,0.0,0.0,0.034853553771972655
28,RFC-0029,0.55,0.0,0.0,0.0,0.05754718780517578
29,RFC-0030,0.55,0.0,0.0,0.0,0.06847777366638183
30,RFC-0031,0.55,0.0,0.0,0.0,0.06967720985412598
31,RFC-0032,0.55,0.0,0.0,0.0,0.04674215316772461
32,RFC-0033,0.55,0.0,0.0,0.0,0.03006906509399414
33,RFC-0034,0.55,0.0,0.0,0.0,0.08865947723388672
34,RFC-0035,0.90625,0.8991346052391778,0.9302955665024631,0.8704978595746116,0.055595016479492186
35,RFC-0036,0.55,0.0,0.0,0.0,0.04443426132202148
36,RFC-0037,0.55,0.0,0.0,0.0,0.0682558536529541
37,RFC-0038,0.55,0.0,0.0,0.0,0.02167515754699707
38,RFC-0039,0.55,0.0,0.0,0.0,0.026421022415161134
39,RFC-0040,0.55,0.0,0.0,0.0,0.06926360130310058
40,RFC-0041,0.55,0.0,0.0,0.0,0.08166990280151368
41,RFC-0042,0.55,0.0,0.0,0.0,0.05236606597900391
42,RFC-0043,0.55,0.0,0.0,0.0,0.05045642852783203
43,RFC-0044,0.55,0.0,0.0,0.0,0.03582291603088379
44,RFC-0045,0.55,0.0,0.0,0.0,0.056447935104370114
45,RFC-0046,0.55,0.0,0.0,0.0,0.025215578079223634
46,RFC-0047,0.55,0.0,0.0,0.0,0.025635194778442384
47,RFC-0048,0.55,0.0,0.0,0.0,0.05338950157165527
48,RFC-0049,0.55,0.0,0.0,0.0,0.06131911277770996
49,RFC-0050,0.55,0.0,0.0,0.0,0.03389816284179688
50,RFC-0051,0.55,0.0,0.0,0.0,0.025218868255615236
51,RFC-0052,0.55,0.0,0.0,0.0,0.07124133110046386
52,RFC-0053,0.55,0.0,0.0,0.0,0.08853306770324706
53,RFC-0054,0.55,0.0,0.0,0.0,0.07789592742919922
54,RFC-0055,0.55,0.0,0.0,0.0,0.0371363639831543
55,RFC-0056,0.55,0.0,0.0,0.0,0.023458194732666016
56,RFC-0057,0.55,0.0,0.0,0.0,0.0697779655456543
57,RFC-0058,0.55,0.0,0.0,0.0,0.01981525421142578
58,RFC-0059,0.55,0.0,0.0,0.0,0.08192696571350097
59,RFC-0060,0.55,0.0,0.0,0.0,0.03450918197631836
60,RFC-0061,0.55,0.0,0.0,0.0,0.0865142822265625
61,RFC-0062,0.55,0.0,0.0,0.0,0.09483985900878907
62,RFC-0063,0.55,0.0,0.0,0.0,0.024227046966552736
63,RFC-0064,0.55,0.0,0.0,0.0,0.02202634811401367
64,RFC-0065,0.55,0.0,0.0,0.0,0.04448180198669434
65,RFC-0066,0.765625,0.6383434970440505,0.518472906403941,0.9436363636363637,0.07101287841796874
66,RFC-0067,0.85,0.8101484329984631,0.7618226600985221,0.8858534798534798,0.05970745086669922
67,RFC-0068,0.55,0.0,0.0,0.0,0.0731806755065918
68,RFC-0069,0.55,0.0,0.0,0.0,0.04681620597839355
69,RFC-0070,0.55,0.0,0.0,0.0,0.05845146179199219
70,RFC-0071,0.55,0.0,0.0,0.0,0.03602995872497559
71,RFC-0072,0.55,0.0,0.0,0.0,0.07165060043334961
72,RFC-0073,0.946875,0.9428014604446655,0.972167487684729,0.9154138857990359,0.024357080459594727
73,RFC-0074,0.55,0.0,0.0,0.0,0.029837608337402344
74,RFC-0075,0.55,0.0,0.0,0.0,0.028928232192993165
75,RFC-0076,0.55,0.0,0.0,0.0,0.033637475967407224
76,RFC-0077,0.55,0.0,0.0,0.0,0.08849248886108399
77,RFC-0078,0.55,0.0,0.0,0.0,0.04731650352478027
78,RFC-0079,0.55,0.0,0.0,0.0,0.07599210739135742
79,RFC-0080,0.55,0.0,0.0,0.0,0.058074235916137695
80,RFC-0081,0.55,0.0,0.0,0.0,0.055479812622070315
81,RFC-0082,0.55,0.0,0.0,0.0,0.0832798957824707
82,RFC-0083,0.55,0.0,0.0,0.0,0.03399515151977539
83,RFC-0084,0.55,0.0,0.0,0.0,0.03232407569885254
84,RFC-0085,0.55,0.0,0.0,0.0,0.0742607593536377
85,RFC-0086,0.55,0.0,0.0,0.0,0.0288240909576416
86,RFC-0087,0.55,0.0,0.0,0.0,0.023353099822998047
87,RFC-0088,0.55,0.0,0.0,0.0,0.06844840049743653
88,RFC-0089,0.55,0.0,0.0,0.0,0.044832611083984376
89,RFC-0090,0.55,0.0,0.0,0.0,0.07325139045715331
90,RFC-0091,0.55,0.0,0.0,0.0,0.020023393630981445
91,RFC-0092,0.55,0.0,0.0,0.0,0.048108577728271484
92,RFC-0093,0.55,0.0,0.0,0.0,0.06482858657836914
93,RFC-0094,0.55,0.0,0.0,0.0,0.04084935188293457
94,RFC-0095,0.55,0.0,0.0,0.0,0.07046198844909668
95,RFC-0096,0.55,0.0,0.0,0.0,0.07205410003662109
96,RFC-0097,0.55,0.0,0.0,0.0,0.03961038589477539
97,RFC-0098,0.55,0.0,0.0,0.0,0.040099143981933594
98,RFC-0099,0.55,0.0,0.0,0.0,0.03451967239379883
99,RFC-0100,0.55,0.0,0.0,0.0,0.04432191848754883
