,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,SVM-0001,1.0,1.0,1.0,1.0,0.008599281311035156
1,SVM-0002,1.0,1.0,1.0,1.0,0.010003232955932617
2,SVM-0003,1.0,1.0,1.0,1.0,0.008825302124023438
3,SVM-0004,1.0,1.0,1.0,1.0,0.01081690788269043
4,SVM-0005,1.0,1.0,1.0,1.0,0.009615898132324219
5,SVM-0006,1.0,1.0,1.0,1.0,0.00881190299987793
6,SVM-0007,1.0,1.0,1.0,1.0,0.009211111068725585
7,SVM-0008,1.0,1.0,1.0,1.0,0.011346006393432617
8,SVM-0009,1.0,1.0,1.0,1.0,0.013585472106933593
9,SVM-0010,1.0,1.0,1.0,1.0,0.012245416641235352
10,SVM-0011,1.0,1.0,1.0,1.0,0.00993351936340332
11,SVM-0012,0.840625,0.7691441958031303,0.6438423645320197,1.0,0.0072037696838378905
12,SVM-0013,1.0,1.0,1.0,1.0,0.007198524475097656
13,SVM-0014,1.0,1.0,1.0,1.0,0.008406352996826173
14,SVM-0015,1.0,1.0,1.0,1.0,0.007210350036621094
15,SVM-0016,1.0,1.0,1.0,1.0,0.010920906066894531
16,SVM-0017,1.0,1.0,1.0,1.0,0.01091299057006836
17,SVM-0018,1.0,1.0,1.0,1.0,0.007209396362304688
18,SVM-0019,1.0,1.0,1.0,1.0,0.008417415618896484
19,SVM-0020,1.0,1.0,1.0,1.0,0.008409357070922852
20,SVM-0021,1.0,1.0,1.0,1.0,0.010403108596801759
21,SVM-0022,1.0,1.0,1.0,1.0,0.009199571609497071
22,SVM-0023,1.0,1.0,1.0,1.0,0.009609651565551759
23,SVM-0024,1.0,1.0,1.0,1.0,0.007200813293457032
24,SVM-0025,1.0,1.0,1.0,1.0,0.010803604125976562
25,SVM-0026,1.0,1.0,1.0,1.0,0.010802412033081054
26,SVM-0027,1.0,1.0,1.0,1.0,0.010799837112426759
27,SVM-0028,1.0,1.0,1.0,1.0,0.009603786468505859
28,SVM-0029,1.0,1.0,1.0,1.0,0.010908889770507812
29,SVM-0030,1.0,1.0,1.0,1.0,0.00970287322998047
30,SVM-0031,1.0,1.0,1.0,1.0,0.010815143585205078
31,SVM-0032,1.0,1.0,1.0,1.0,0.007201051712036133
32,SVM-0033,1.0,1.0,1.0,1.0,0.010413837432861329
33,SVM-0034,1.0,1.0,1.0,1.0,0.008512592315673828
34,SVM-0035,1.0,1.0,1.0,1.0,0.010700130462646484
35,SVM-0036,1.0,1.0,1.0,1.0,0.010704803466796874
36,SVM-0037,1.0,1.0,1.0,1.0,0.010802364349365235
37,SVM-0038,1.0,1.0,1.0,1.0,0.010805559158325196
38,SVM-0039,1.0,1.0,1.0,1.0,0.010746097564697266
39,SVM-0040,1.0,1.0,1.0,1.0,0.013474845886230468
40,SVM-0041,1.0,1.0,1.0,1.0,0.008822154998779298
41,SVM-0042,1.0,1.0,1.0,1.0,0.010015630722045898
42,SVM-0043,1.0,1.0,1.0,1.0,0.01006174087524414
43,SVM-0044,1.0,1.0,1.0,1.0,0.008147907257080079
44,SVM-0045,1.0,1.0,1.0,1.0,0.008409070968627929
45,SVM-0046,1.0,1.0,1.0,1.0,0.010812807083129882
46,SVM-0047,1.0,1.0,1.0,1.0,0.010811471939086914
47,SVM-0048,1.0,1.0,1.0,1.0,0.00945453643798828
48,SVM-0049,0.55,0.0,0.0,0.0,0.007201719284057617
49,SVM-0050,1.0,1.0,1.0,1.0,0.009606122970581055
50,SVM-0051,1.0,1.0,1.0,1.0,0.011398983001708985
51,SVM-0052,1.0,1.0,1.0,1.0,0.007969522476196289
52,SVM-0053,1.0,1.0,1.0,1.0,0.008306074142456054
53,SVM-0054,1.0,1.0,1.0,1.0,0.008402061462402344
54,SVM-0055,1.0,1.0,1.0,1.0,0.010814046859741211
55,SVM-0056,1.0,1.0,1.0,1.0,0.00840134620666504
56,SVM-0057,1.0,1.0,1.0,1.0,0.00972127914428711
57,SVM-0058,1.0,1.0,1.0,1.0,0.00720372200012207
58,SVM-0059,1.0,1.0,1.0,1.0,0.01040654182434082
59,SVM-0060,1.0,1.0,1.0,1.0,0.009924221038818359
60,SVM-0061,1.0,1.0,1.0,1.0,0.009623003005981446
61,SVM-0062,1.0,1.0,1.0,1.0,0.010022830963134766
62,SVM-0063,1.0,1.0,1.0,1.0,0.008408451080322265
63,SVM-0064,1.0,1.0,1.0,1.0,0.009611558914184571
64,SVM-0065,1.0,1.0,1.0,1.0,0.008506059646606445
65,SVM-0066,1.0,1.0,1.0,1.0,0.009508895874023437
66,SVM-0067,1.0,1.0,1.0,1.0,0.008395719528198241
67,SVM-0068,1.0,1.0,1.0,1.0,0.009705734252929688
68,SVM-0069,1.0,1.0,1.0,1.0,0.00839543342590332
69,SVM-0070,0.55,0.0,0.0,0.0,0.010800552368164063
70,SVM-0071,1.0,1.0,1.0,1.0,0.009612417221069336
71,SVM-0072,1.0,1.0,1.0,1.0,0.009605932235717773
72,SVM-0073,0.984375,0.9819409635199108,0.9650246305418719,1.0,0.009612941741943359
73,SVM-0074,1.0,1.0,1.0,1.0,0.007204198837280273
74,SVM-0075,1.0,1.0,1.0,1.0,0.010807323455810546
75,SVM-0076,1.0,1.0,1.0,1.0,0.009604740142822265
76,SVM-0077,0.959375,0.9517486217486217,0.90935960591133,1.0,0.011136627197265625
77,SVM-0078,1.0,1.0,1.0,1.0,0.011104059219360352
78,SVM-0079,1.0,1.0,1.0,1.0,0.009403562545776368
79,SVM-0080,1.0,1.0,1.0,1.0,0.009212684631347657
80,SVM-0081,1.0,1.0,1.0,1.0,0.01020827293395996
81,SVM-0082,1.0,1.0,1.0,1.0,0.009904956817626953
82,SVM-0083,1.0,1.0,1.0,1.0,0.011663484573364257
83,SVM-0084,1.0,1.0,1.0,1.0,0.011009836196899414
84,SVM-0085,1.0,1.0,1.0,1.0,0.010908889770507812
85,SVM-0086,1.0,1.0,1.0,1.0,0.013620424270629882
86,SVM-0087,1.0,1.0,1.0,1.0,0.012012338638305664
87,SVM-0088,1.0,1.0,1.0,1.0,0.013201045989990234
88,SVM-0089,1.0,1.0,1.0,1.0,0.01321568489074707
89,SVM-0090,1.0,1.0,1.0,1.0,0.014410591125488282
90,SVM-0091,1.0,1.0,1.0,1.0,0.01080927848815918
91,SVM-0092,1.0,1.0,1.0,1.0,0.01140751838684082
92,SVM-0093,1.0,1.0,1.0,1.0,0.013134384155273437
93,SVM-0094,1.0,1.0,1.0,1.0,0.011622810363769531
94,SVM-0095,0.9625,0.9556543456543457,0.916256157635468,1.0,0.01191244125366211
95,SVM-0096,1.0,1.0,1.0,1.0,0.013639116287231445
96,SVM-0097,1.0,1.0,1.0,1.0,0.010961532592773438
97,SVM-0098,1.0,1.0,1.0,1.0,0.009603452682495118
98,SVM-0099,1.0,1.0,1.0,1.0,0.01471104621887207
99,SVM-0100,1.0,1.0,1.0,1.0,0.008850336074829102
