,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,LR-0001,1.0,1.0,1.0,1.0,0.007194709777832031
1,LR-0002,1.0,1.0,1.0,1.0,0.006199073791503906
2,LR-0003,1.0,1.0,1.0,1.0,0.005828142166137695
3,LR-0004,1.0,1.0,1.0,1.0,0.006229877471923828
4,LR-0005,1.0,1.0,1.0,1.0,0.007709217071533203
5,LR-0006,1.0,1.0,1.0,1.0,0.006000518798828125
6,LR-0007,1.0,1.0,1.0,1.0,0.006401872634887696
7,LR-0008,1.0,1.0,1.0,1.0,0.005903482437133789
8,LR-0009,1.0,1.0,1.0,1.0,0.007204198837280273
9,LR-0010,1.0,1.0,1.0,1.0,0.005198049545288086
10,LR-0011,1.0,1.0,1.0,1.0,0.007008171081542969
11,LR-0012,1.0,1.0,1.0,1.0,0.007427120208740234
12,LR-0013,1.0,1.0,1.0,1.0,0.006002664566040039
13,LR-0014,1.0,1.0,1.0,1.0,0.007207489013671875
14,LR-0015,1.0,1.0,1.0,1.0,0.005654144287109375
15,LR-0016,1.0,1.0,1.0,1.0,0.00630497932434082
16,LR-0017,1.0,1.0,1.0,1.0,0.006001424789428711
17,LR-0018,1.0,1.0,1.0,1.0,0.006301116943359375
18,LR-0019,1.0,1.0,1.0,1.0,0.007114887237548828
19,LR-0020,1.0,1.0,1.0,1.0,0.005998802185058594
20,LR-0021,1.0,1.0,1.0,1.0,0.006503868103027344
21,LR-0022,1.0,1.0,1.0,1.0,0.0075034618377685545
22,LR-0023,1.0,1.0,1.0,1.0,0.00770263671875
23,LR-0024,1.0,1.0,1.0,1.0,0.0047989368438720705
24,LR-0025,1.0,1.0,1.0,1.0,0.005602407455444336
25,LR-0026,1.0,1.0,1.0,1.0,0.007613229751586914
26,LR-0027,1.0,1.0,1.0,1.0,0.006107044219970703
27,LR-0028,1.0,1.0,1.0,1.0,0.006201028823852539
28,LR-0029,1.0,1.0,1.0,1.0,0.0055178642272949215
29,LR-0030,1.0,1.0,1.0,1.0,0.006007337570190429
30,LR-0031,1.0,1.0,1.0,1.0,0.006687545776367187
31,LR-0032,1.0,1.0,1.0,1.0,0.007459068298339843
32,LR-0033,1.0,1.0,1.0,1.0,0.003849315643310547
33,LR-0034,1.0,1.0,1.0,1.0,0.004102039337158203
34,LR-0035,1.0,1.0,1.0,1.0,0.004202365875244141
35,LR-0036,1.0,1.0,1.0,1.0,0.004802703857421875
36,LR-0037,1.0,1.0,1.0,1.0,0.006624937057495117
37,LR-0038,1.0,1.0,1.0,1.0,0.004611825942993164
38,LR-0039,1.0,1.0,1.0,1.0,0.008476781845092773
39,LR-0040,1.0,1.0,1.0,1.0,0.005761146545410156
40,LR-0041,1.0,1.0,1.0,1.0,0.004603862762451172
41,LR-0042,1.0,1.0,1.0,1.0,0.0075948238372802734
42,LR-0043,1.0,1.0,1.0,1.0,0.00832977294921875
43,LR-0044,1.0,1.0,1.0,1.0,0.006674909591674804
44,LR-0045,1.0,1.0,1.0,1.0,0.005203056335449219
45,LR-0046,1.0,1.0,1.0,1.0,0.006044912338256836
