,random_state,kernel,gamma,degree,C,ID
0,1973,rbf,5.86,2,7.43,SVM-0001
1,1973,poly,5.06,3,3.73,SVM-0002
2,1973,rbf,5.78,5,3.42,SVM-0003
3,1973,rbf,7.22,2,5.28,SVM-0004
4,1973,rbf,4.37,1,4.17,SVM-0005
5,1973,rbf,0.76,1,3.3499999999999996,SVM-0006
6,1973,rbf,9.77,2,8.77,SVM-0007
7,1973,linear,6.14,2,7.03,SVM-0008
8,1973,rbf,7.15,2,5.83,SVM-0009
9,1973,poly,1.99,5,6.88,SVM-0010
10,1973,rbf,6.14,1,5.71,SVM-0011
11,1973,linear,3.1799999999999997,3,0.41000000000000003,SVM-0012
12,1973,poly,8.88,2,0.79,SVM-0013
13,1973,linear,4.1499999999999995,4,5.04,SVM-0014
14,1973,rbf,9.25,5,2.8,SVM-0015
15,1973,rbf,8.76,1,8.74,SVM-0016
16,1973,linear,9.93,1,2.0599999999999996,SVM-0017
17,1973,rbf,3.31,4,9.96,SVM-0018
18,1973,rbf,3.19,4,4.07,SVM-0019
19,1973,rbf,9.05,2,4.1,SVM-0020
20,1973,rbf,6.2,3,6.52,SVM-0021
21,1973,linear,8.23,2,6.45,SVM-0022
22,1973,linear,5.57,3,3.67,SVM-0023
23,1973,rbf,1.33,4,8.08,SVM-0024
24,1973,poly,6.8,5,9.47,SVM-0025
25,1973,linear,4.27,1,4.82,SVM-0026
26,1973,poly,1.3900000000000001,5,4.75,SVM-0027
27,1973,linear,4.17,5,8.37,SVM-0028
28,1973,poly,3.5999999999999996,5,0.41000000000000003,SVM-0029
29,1973,rbf,9.51,3,4.109999999999999,SVM-0030
30,1973,rbf,3.9299999999999997,4,1.01,SVM-0031
31,1973,rbf,5.77,1,6.51,SVM-0032
32,1973,rbf,8.53,2,1.97,SVM-0033
33,1973,poly,0.5800000000000001,2,2.21,SVM-0034
34,1973,linear,1.9200000000000002,3,1.8900000000000001,SVM-0035
35,1973,linear,4.9399999999999995,5,7.6,SVM-0036
36,1973,rbf,2.8899999999999997,5,5.21,SVM-0037
37,1973,poly,1.46,1,6.88,SVM-0038
38,1973,linear,9.7,2,5.1499999999999995,SVM-0039
39,1973,poly,1.9000000000000001,1,1.34,SVM-0040
40,1973,rbf,9.18,3,6.85,SVM-0041
41,1973,poly,7.24,2,3.9299999999999997,SVM-0042
42,1973,linear,7.9,4,6.05,SVM-0043
43,1973,linear,5.5,3,4.1499999999999995,SVM-0044
44,1973,linear,4.85,5,9.46,SVM-0045
45,1973,rbf,6.79,3,2.4699999999999998,SVM-0046
46,1973,poly,4.71,1,6.34,SVM-0047
47,1973,linear,9.33,5,1.2,SVM-0048
48,1973,linear,6.1899999999999995,1,0.11,SVM-0049
49,1973,poly,6.41,2,0.18000000000000002,SVM-0050
50,1973,rbf,4.46,3,3.38,SVM-0051
51,1973,poly,7.68,1,1.1,SVM-0052
52,1973,rbf,8.07,1,2.67,SVM-0053
53,1973,rbf,6.5,5,0.89,SVM-0054
54,1973,poly,2.79,2,0.73,SVM-0055
55,1973,linear,0.060000000000000005,2,1.68,SVM-0056
56,1973,poly,6.4799999999999995,5,6.88,SVM-0057
57,1973,rbf,9.51,4,2.38,SVM-0058
58,1973,rbf,3.48,1,2.9899999999999998,SVM-0059
59,1973,poly,2.4899999999999998,2,7.08,SVM-0060
60,1973,poly,6.89,4,1.12,SVM-0061
61,1973,linear,2.8699999999999997,1,1.6500000000000001,SVM-0062
62,1973,poly,9.27,4,9.14,SVM-0063
63,1973,poly,2.2399999999999998,3,1.1500000000000001,SVM-0064
64,1973,poly,0.86,1,1.9000000000000001,SVM-0065
65,1973,rbf,9.69,2,6.04,SVM-0066
66,1973,rbf,8.44,3,3.59,SVM-0067
67,1973,poly,4.01,5,3.3899999999999997,SVM-0068
68,1973,poly,3.4,2,3.69,SVM-0069
69,1973,rbf,9.05,2,0.42000000000000004,SVM-0070
70,1973,rbf,3.09,1,7.17,SVM-0071
71,1973,linear,9.51,1,6.87,SVM-0072
72,1973,linear,6.63,2,0.85,SVM-0073
73,1973,linear,8.92,3,4.62,SVM-0074
74,1973,rbf,8.86,1,9.07,SVM-0075
75,1973,linear,3.4099999999999997,3,8.8,SVM-0076
76,1973,linear,0.04,5,0.64,SVM-0077
77,1973,poly,5.4799999999999995,2,1.7,SVM-0078
78,1973,rbf,6.89,5,5.88,SVM-0079
79,1973,rbf,3.6199999999999997,1,5.16,SVM-0080
80,1973,linear,4.6899999999999995,5,5.61,SVM-0081
81,1973,linear,4.22,5,7.28,SVM-0082
82,1973,rbf,4.93,4,6.93,SVM-0083
83,1973,linear,4.01,1,5.7299999999999995,SVM-0084
84,1973,poly,0.99,2,2.11,SVM-0085
85,1973,linear,0.92,4,8.64,SVM-0086
86,1973,linear,9.37,4,3.57,SVM-0087
87,1973,poly,2.96,4,7.75,SVM-0088
88,1973,rbf,9.87,4,0.88,SVM-0089
89,1973,rbf,5.02,3,3.9099999999999997,SVM-0090
90,1973,linear,9.54,4,5.96,SVM-0091
91,1973,poly,7.68,5,7.92,SVM-0092
92,1973,poly,0.85,5,5.07,SVM-0093
93,1973,rbf,2.48,3,1.6700000000000002,SVM-0094
94,1973,linear,7.7,2,0.65,SVM-0095
95,1973,rbf,5.79,5,0.92,SVM-0096
96,1973,linear,6.91,4,2.26,SVM-0097
97,1973,poly,2.8699999999999997,1,1.34,SVM-0098
98,1973,linear,3.08,5,7.66,SVM-0099
99,1973,poly,0.61,2,4.1899999999999995,SVM-0100
