,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,SVM-0001,1.0,1.0,1.0,1.0,0.01229715347290039
1,SVM-0002,1.0,1.0,1.0,1.0,0.012938737869262695
2,SVM-0003,1.0,1.0,1.0,1.0,0.011527729034423829
3,SVM-0004,1.0,1.0,1.0,1.0,0.014230823516845703
4,SVM-0005,1.0,1.0,1.0,1.0,0.014509487152099609
5,SVM-0006,1.0,1.0,1.0,1.0,0.015224313735961914
6,SVM-0007,1.0,1.0,1.0,1.0,0.01612057685852051
7,SVM-0008,1.0,1.0,1.0,1.0,0.013013029098510742
8,SVM-0009,1.0,1.0,1.0,1.0,0.020223712921142577
9,SVM-0010,1.0,1.0,1.0,1.0,0.03003387451171875
10,SVM-0011,1.0,1.0,1.0,1.0,0.019230031967163087
11,SVM-0012,0.7394969725197951,0.7980847085217947,1.0,0.6641692293313063,0.016818523406982422
12,SVM-0013,1.0,1.0,1.0,1.0,0.0198030948638916
13,SVM-0014,1.0,1.0,1.0,1.0,0.02001652717590332
14,SVM-0015,1.0,1.0,1.0,1.0,0.015406274795532226
15,SVM-0016,1.0,1.0,1.0,1.0,0.020913124084472656
16,SVM-0017,1.0,1.0,1.0,1.0,0.019154691696166994
17,SVM-0018,1.0,1.0,1.0,1.0,0.022573137283325197
18,SVM-0019,1.0,1.0,1.0,1.0,0.018036413192749023
19,SVM-0020,1.0,1.0,1.0,1.0,0.01713709831237793
20,SVM-0021,1.0,1.0,1.0,1.0,0.01613025665283203
21,SVM-0022,1.0,1.0,1.0,1.0,0.018000221252441405
22,SVM-0023,1.0,1.0,1.0,1.0,0.014707422256469727
23,SVM-0024,1.0,1.0,1.0,1.0,0.01938309669494629
24,SVM-0025,1.0,1.0,1.0,1.0,0.018642282485961913
25,SVM-0026,1.0,1.0,1.0,1.0,0.01957836151123047
26,SVM-0027,1.0,1.0,1.0,1.0,0.023808860778808595
27,SVM-0028,1.0,1.0,1.0,1.0,0.021967220306396484
28,SVM-0029,1.0,1.0,1.0,1.0,0.021219635009765626
29,SVM-0030,1.0,1.0,1.0,1.0,0.023266124725341796
30,SVM-0031,1.0,1.0,1.0,1.0,0.015717601776123045
31,SVM-0032,1.0,1.0,1.0,1.0,0.018390083312988283
32,SVM-0033,1.0,1.0,1.0,1.0,0.01342787742614746
33,SVM-0034,1.0,1.0,1.0,1.0,0.01600956916809082
34,SVM-0035,1.0,1.0,1.0,1.0,0.02058553695678711
35,SVM-0036,1.0,1.0,1.0,1.0,0.020180511474609374
36,SVM-0037,1.0,1.0,1.0,1.0,0.016806411743164062
37,SVM-0038,1.0,1.0,1.0,1.0,0.01920347213745117
38,SVM-0039,1.0,1.0,1.0,1.0,0.020635318756103516
39,SVM-0040,1.0,1.0,1.0,1.0,0.018505382537841796
40,SVM-0041,1.0,1.0,1.0,1.0,0.01566162109375
41,SVM-0042,1.0,1.0,1.0,1.0,0.016114139556884767
42,SVM-0043,1.0,1.0,1.0,1.0,0.01485757827758789
43,SVM-0044,1.0,1.0,1.0,1.0,0.01631450653076172
