,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,GBC-0001,0.9999056133817952,0.9999013536461379,1.0,0.9998027289130988,0.5447368621826172
1,GBC-0002,0.7547353950721547,0.7426805405976155,0.7400687344763266,0.7455744080767046,0.12540535926818847
2,GBC-0003,0.9994494109813484,0.9994248353613079,1.0,0.9988503427304588,0.5256341934204102
3,GBC-0004,0.894711185424281,0.8905693924936842,0.8957509552208183,0.8855274766179317,0.10943160057067872
4,GBC-0005,0.9942266682757431,0.9939908210064562,0.9981583761173084,0.989858445480343,0.27292451858520506
5,GBC-0006,0.9231845854427251,0.9201810383244329,0.9256772635517198,0.914756224655808,0.18461246490478517
6,GBC-0007,0.6456711615509503,0.46093828628101957,0.3218566019917132,0.8389779854876045,0.14391741752624512
7,GBC-0008,0.5293861846920669,0.031043002187795505,0.01667473217666944,0.9938398357289528,0.1446619987487793
8,GBC-0009,0.777812610168505,0.7674291218290714,0.7667717805677287,0.7681966248302441,0.15626368522644044
9,GBC-0010,0.851371768064164,0.8487128765417065,0.8715795437468341,0.8270577952634101,0.25009984970092775
10,GBC-0011,0.8183205675679686,0.8130647463248764,0.82590096721769,0.8006329585686561,0.17501211166381836
11,GBC-0012,0.9814057557845739,0.9807041137619669,0.9877992492126868,0.9737110748648519,0.2595673084259033
12,GBC-0013,0.9998741507632701,0.9998684751324689,1.0,0.9997369880993784,1.1010049343109132
13,GBC-0014,0.9472376601715731,0.9458355866964656,0.9629702350505379,0.9293078949281254,0.8784784793853759
14,GBC-0015,0.9998112255262199,0.9998027262121619,1.0,0.9996055388840734,0.6473408222198487
15,GBC-0016,0.9994808735998735,0.9994576922617073,1.0,0.9989159971603524,0.7441154479980469
16,GBC-0017,0.9873049317960787,0.9868035883728531,0.9922717164600379,0.9813980275774872,0.5880810737609863
17,GBC-0018,0.7844202401585092,0.7722073305164927,0.7639774423124063,0.7807110419912917,0.19713830947875977
18,GBC-0019,0.8842499458124543,0.8817332478833866,0.9019664919292717,0.8623930705653795,0.24350595474243164
19,GBC-0020,0.7634819201183084,0.7481572812643653,0.7345438195670517,0.7625328771433504,0.1592172622680664
20,GBC-0021,0.7166189963512544,0.672683871354104,0.6100380963536163,0.7507843778187531,0.1255646228790283
21,GBC-0022,0.9770167409169368,0.9761393570412247,0.9828005905802739,0.9695690856066876,0.4331494331359863
22,GBC-0023,0.9998741507632701,0.9998684751324689,1.0,0.9997369880993784,0.590329360961914
23,GBC-0024,0.7555850231204525,0.7435339995452948,0.7410229846215627,0.7461885441313022,0.1128159523010254
24,GBC-0025,0.9998741507632701,0.9998684751324689,1.0,0.9997369880993784,0.7618857383728027
25,GBC-0026,0.6967972026914638,0.564204710592654,0.410746617474356,0.9030504848163121,0.11199631690979003
26,GBC-0027,0.8448277512891822,0.8408108071987954,0.8565183029215208,0.8256928411073611,0.22531352043151856
27,GBC-0028,0.777545445801745,0.7703579771076475,0.7801236091456556,0.7609328231076328,0.15041737556457518
28,GBC-0029,0.9949188335095906,0.9947115004409188,0.9989476496757762,0.9905112183691962,0.30798139572143557
29,GBC-0030,0.7293612430158326,0.6969829091704295,0.6513430628853998,0.7497967262443637,0.16619811058044434
30,GBC-0031,0.7337182260745359,0.7022879610282655,0.6570298990591825,0.7551669095778134,0.11939096450805664
31,GBC-0032,0.9532469188454874,0.9516410083962322,0.9616876594344215,0.941808310240542,0.21764278411865234
32,GBC-0033,0.9549616037142693,0.9531820703060353,0.9584648189916235,0.9479623521654352,0.5168740749359131
33,GBC-0034,0.633055217000688,0.41129872109820276,0.2731554789688109,0.8701098666721807,0.10254039764404296
34,GBC-0035,0.7037510427475484,0.6569964305675128,0.5937929100408759,0.7355673719770777,0.10404472351074219
35,GBC-0036,0.9996539161457058,0.9996384038843973,1.0,0.9992770993658174,0.45252242088317873
