,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,KNN-0001,,,,,12.808477401733398
1,KNN-0002,,,,,155.16234588623047
2,KNN-0003,1.0,1.0,1.0,1.0,12.088525819778443
3,KNN-0004,1.0,1.0,1.0,1.0,146.94058046340942
4,KNN-0005,1.0,1.0,1.0,1.0,146.89133224487304
5,KNN-0006,,,,,11.552960634231567
6,KNN-0007,,,,,11.604066801071166
7,KNN-0008,,,,,147.87989873886107
8,KNN-0009,,,,,11.85549635887146
9,KNN-0010,,,,,147.44487624168397
10,KNN-0011,0.8675749027665018,0.8632691262948808,0.8740123265219115,0.8531689770425617,11.966900873184205
11,KNN-0012,,,,,12.08750786781311
12,KNN-0013,,,,,147.60231094360353
13,KNN-0014,1.0,1.0,1.0,1.0,146.99161796569825
14,KNN-0015,0.7990955081831577,0.8619609998708683,0.9999671106725867,0.7942587891170675,147.15134148597718
15,KNN-0016,,,,,11.577297735214234
16,KNN-0017,1.0,1.0,1.0,1.0,11.767381286621093
17,KNN-0018,,,,,148.3614276409149
18,KNN-0019,,,,,149.39344148635865
19,KNN-0020,,,,,12.021000576019286
20,KNN-0021,1.0,1.0,1.0,1.0,12.873643970489502
21,KNN-0022,1.0,1.0,1.0,1.0,147.91161832809448
22,KNN-0023,,,,,146.9079951286316
23,KNN-0024,,,,,147.06611890792846
24,KNN-0025,,,,,11.487656116485596
25,KNN-0026,0.8375756616458009,0.8371521950945737,0.8722039705021345,0.8051231858672576,12.226849269866943
26,KNN-0027,,,,,12.611584138870239
27,KNN-0028,,,,,148.99580111503602
28,KNN-0029,,,,,149.92995047569275
29,KNN-0030,0.8507740822513054,0.8481606562918438,0.8709541814680806,0.8268647703744005,12.245577907562256
30,KNN-0031,,,,,12.677255630493164
31,KNN-0032,,,,,12.811103868484498
32,KNN-0033,,,,,12.81509518623352
33,KNN-0034,,,,,12.91833815574646
34,KNN-0035,,,,,150.48541531562805
35,KNN-0036,,,,,11.796419095993041
36,KNN-0037,,,,,11.753287935256958
37,KNN-0038,,,,,10.271962594985961
38,KNN-0039,,,,,147.3190420150757
39,KNN-0040,,,,,147.53202757835388
40,KNN-0041,,,,,11.500500631332397
41,KNN-0042,,,,,12.064692115783691
42,KNN-0043,,,,,147.49644436836243
43,KNN-0044,0.7977108894081473,0.8321061431178528,0.99029764841309,0.7262656946933098,146.9207634449005
44,KNN-0045,,,,,10.17904281616211
45,KNN-0046,,,,,147.82092514038087
46,KNN-0047,0.8649467996904248,0.8568352222312197,0.8617782213492834,0.8758937373777134,147.13486614227295
47,KNN-0048,,,,,11.164341640472411
48,KNN-0049,,,,,11.838310241699219
49,KNN-0050,,,,,12.104574632644653
50,KNN-0051,,,,,12.582441997528075
51,KNN-0052,,,,,12.259918689727783
52,KNN-0053,,,,,147.4334827899933
53,KNN-0054,0.7977108894081473,0.8321061431178528,0.99029764841309,0.7262656946933098,147.1039589881897
54,KNN-0055,,,,,148.65980725288392
55,KNN-0056,,,,,11.686831903457641
56,KNN-0057,,,,,11.398370552062989
57,KNN-0058,,,,,11.6662015914917
58,KNN-0059,0.8675749027665018,0.8632691262948808,0.8740123265219115,0.8531689770425617,12.160118818283081
59,KNN-0060,,,,,11.039469480514526
60,KNN-0061,1.0,1.0,1.0,1.0,12.96727466583252
61,KNN-0062,,,,,154.50203104019164
62,KNN-0063,,,,,12.218543815612794
63,KNN-0064,,,,,12.239605283737182
64,KNN-0065,,,,,11.853878545761109
65,KNN-0066,,,,,147.04009494781494
66,KNN-0067,0.8649467996904248,0.8568352222312197,0.8617782213492834,0.8758937373777134,147.01031527519226
67,KNN-0068,,,,,147.0378496646881
68,KNN-0069,1.0,1.0,1.0,1.0,147.6595250606537
69,KNN-0070,,,,,11.64347596168518
70,KNN-0071,,,,,148.12649011611938
71,KNN-0072,,,,,11.810062360763549
72,KNN-0073,,,,,11.955963134765625
73,KNN-0074,,,,,12.118364620208741
74,KNN-0075,,,,,12.305026721954345
75,KNN-0076,,,,,147.54055318832397
76,KNN-0077,,,,,147.1550624370575
77,KNN-0078,,,,,12.137592792510986
78,KNN-0079,,,,,12.648396873474121
79,KNN-0080,,,,,147.66023540496826
80,KNN-0081,,,,,146.87326741218567
81,KNN-0082,,,,,147.15029063224793
82,KNN-0083,,,,,148.0740222454071
83,KNN-0084,,,,,11.863557958602906
84,KNN-0085,,,,,11.707516813278199
85,KNN-0086,,,,,147.3390483379364
86,KNN-0087,,,,,147.07094583511352
87,KNN-0088,,,,,9.93387393951416
88,KNN-0089,,,,,147.07103939056395
89,KNN-0090,,,,,8.320736408233643
90,KNN-0091,,,,,147.2303258419037
91,KNN-0092,,,,,12.008976364135743
92,KNN-0093,,,,,147.57793798446656
93,KNN-0094,,,,,11.761596775054931
94,KNN-0095,,,,,0.3274398326873779
95,KNN-0096,,,,,0.3231505393981934
96,KNN-0097,,,,,10.024280118942261
97,KNN-0098,1.0,1.0,1.0,1.0,147.68681383132935
98,KNN-0099,,,,,11.533340787887573
99,KNN-0100,,,,,10.303377819061279
