,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,LR-0001,1,1,1,1,0.012678862
1,LR-0002,0.999921343,0.999917773,0.999835564,1,0.015626192
2,LR-0003,1,1,1,1,0.015633011
3,LR-0004,0.998647117,0.998586037,0.998684551,0.99848755,0.012499571
4,LR-0005,0.999370753,0.999342351,0.99944093,0.999243821,0.01350379
5,LR-0006,1,1,1,1,0.006952572
6,LR-0007,1,1,1,1,0.009377289
7,LR-0008,0.99959099,0.99957249,0.999605366,0.999539631,0.001002359
8,LR-0009,1,1,1,1,0.007952785
9,LR-0010,0.999937075,0.999934221,0.999868454,1,0.015708637
10,LR-0011,1,1,1,1,0.006253433
11,LR-0012,0.999937075,0.999934221,0.999868454,1,0.015592098
12,LR-0013,0.999937075,0.999934221,0.999868454,1,0.012277222
13,LR-0014,0.999937075,0.999934221,0.999868454,1,0.011476707
14,LR-0015,1,1,1,1,0.012503147
15,LR-0016,0.997797638,0.997697949,0.997697963,0.997698168,0.01027813
16,LR-0017,0.999937075,0.999934221,0.999868454,1,0.00987916
17,LR-0018,0.999937075,0.999934221,0.999868454,1,0.007955694
18,LR-0019,1,1,1,1,0.010955572
19,LR-0020,1,1,1,1,0.009376383
20,LR-0021,0.972580548,0.971386407,0.972967655,0.96981103,0.008151531
21,LR-0022,0.999937075,0.999934221,0.999868454,1,0.012503386
22,LR-0023,0.999937075,0.999934221,0.999868454,1,0.013507366
23,LR-0024,1,1,1,1,0.006226778
24,LR-0025,1,1,1,1,0.006250763
25,LR-0026,0.999937075,0.999934221,0.999868454,1,0.003727627
26,LR-0027,0.999937075,0.999934221,0.999868454,1,0.016356182
27,LR-0028,0.995453694,0.995247482,0.995132855,0.995362322,0.015628195
28,LR-0029,1,1,1,1,0.015704775
29,LR-0030,1,1,1,1,0.007228851
30,LR-0031,1,1,1,1,0.010757637
31,LR-0032,1,1,1,1,0.010857964
32,LR-0033,1,1,1,1,0.006226587
33,LR-0034,1,1,1,1,0.010180092
34,LR-0035,1,1,1,1,0.012505674
35,LR-0036,0.999937075,0.999934221,0.999868454,1,0.015205812
36,LR-0037,0.999937075,0.999934221,0.999868454,1,0.015629387
37,LR-0038,0.999937075,0.999934221,0.999868454,1,0.012703419
38,LR-0039,0.998851627,0.998799779,0.99891476,0.998684994,0.014302301
39,LR-0040,0.999937075,0.999934221,0.999868454,1,0.009373665
40,LR-0041,0.999889881,0.999884881,0.999769796,1,0.012504292
41,LR-0042,0.999937075,0.999934221,0.999868454,1,0.013381433
42,LR-0043,1,1,1,1,0.00937624
43,LR-0044,0.999921343,0.999917773,0.999835564,1,0.009981251
44,LR-0045,0.953231187,0.951374801,0.956458819,0.946345028,0.015863609
45,LR-0046,0.999937075,0.999934221,0.999868454,1,0.007030916
46,LR-0047,0.998599925,0.998536743,0.998651667,0.998421858,0.006249857
47,LR-0048,0.99987415,0.999868432,0.999736907,1,0.012178183
48,LR-0049,0.99987415,0.999868432,0.999736907,1,0.010777473
49,LR-0050,0.999937075,0.999934221,0.999868454,1,0.014508438
50,LR-0051,0.999984268,0.999983554,0.999967111,1,0.007852173
51,LR-0052,0.999937075,0.999934221,0.999868454,1,0.006252384
52,LR-0053,0.999937075,0.999934221,0.999868454,1,0.00422864
53,LR-0054,1,1,1,1,0.006252623
54,LR-0055,0.999984268,0.999983554,0.999967111,1,0.01050024
55,LR-0056,1,1,1,1,0.006332636
56,LR-0057,0.997860553,0.997764488,0.998092592,0.99743675,0.009375715
57,LR-0058,1,1,1,1,0.014355373
58,LR-0059,0.999937075,0.999934221,0.999868454,1,0.008953476
59,LR-0060,1,1,1,1,0.012182093
60,LR-0061,1,1,1,1,0.015107059
61,LR-0062,0.999937075,0.999934221,0.999868454,1,0.001802301
62,LR-0063,1,1,1,1,0.015685558
63,LR-0064,1,1,1,1,0.017208624
64,LR-0065,0.999937075,0.999934221,0.999868454,1,0.009375906
65,LR-0066,1,1,1,1,0.012503004
66,LR-0067,0.999937075,0.999934221,0.999868454,1,0.006249332
67,LR-0068,0.999937075,0.999934221,0.999868454,1,0.012503004
68,LR-0069,0.999937075,0.999934221,0.999868454,1,0.013805819
69,LR-0070,0.99630318,0.996135878,0.996119449,0.996152494,0.015628242
70,LR-0071,1,1,1,1,0.015630007
71,LR-0072,0.999905612,0.999901327,0.99980268,1,0.009379387
72,LR-0073,0.999937075,0.999934221,0.999868454,1,0.009659529
73,LR-0074,0.999937075,0.999934221,0.999868454,1,0.009376955
74,LR-0075,1,1,1,1,0.009375
75,LR-0076,0.999937075,0.999934221,0.999868454,1,0.014306211
76,LR-0077,1,1,1,1,0.003125334
77,LR-0078,0.999937075,0.999934221,0.999868454,1,0.012079287
78,LR-0079,0.996539152,0.996381857,0.996185238,0.996578891,0.014785957
79,LR-0080,1,1,1,1,0.011454201
80,LR-0081,0.99987415,0.999868432,0.999736907,1,0.014403105
81,LR-0082,0.991945639,0.991577192,0.99112079,0.992034518,0.015407467
82,LR-0083,0.997624583,0.997517938,0.997862383,0.997173803,0.013605785
83,LR-0084,1,1,1,1,0.014258289
84,LR-0085,1,1,1,1,0.010506296
85,LR-0086,0.999937075,0.999934221,0.999868454,1,0.010632992
86,LR-0087,1,1,1,1,0.015627289
87,LR-0088,0.996491955,0.996332532,0.996152349,0.996513177,0.009736681
88,LR-0089,0.999937075,0.999934221,0.999868454,1,0.013859272
89,LR-0090,1,1,1,1,0.006250858
90,LR-0091,0.999937075,0.999934221,0.999868454,1,0.012500906
