,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,MNB-0001,0.823275822,0.774057795,0.632892485,0.996325122,0.025001907
1,MNB-0002,0.974751413,0.973113718,0.955241892,0.991669693,0.024478292
2,MNB-0003,0.797634024,0.732296904,0.578663457,0.997050874,0.021431923
3,MNB-0004,0.885351073,0.864376015,0.763811957,0.995457335,0.02213645
4,MNB-0005,0.847564749,0.811035878,0.683898706,0.996262898,0.024779654
5,MNB-0006,0.87610112,0.851755575,0.744146,0.995775829,0.018751717
6,MNB-0007,0.811556117,0.755333744,0.608129385,0.996604267,0.031257105
7,MNB-0008,0.773722617,0.690872967,0.528643711,0.996833608,0.025002432
8,MNB-0009,0.817533958,0.764968305,0.620790489,0.996411509,0.01875186
9,MNB-0010,0.874606658,0.849687836,0.740956049,0.995845661,0.018752813
10,MNB-0011,0.96295302,0.960062545,0.930906196,0.991106151,0.015626144
11,MNB-0012,0.795069829,0.728039143,0.573467408,0.996742127,0.021878815
12,MNB-0013,0.802227524,0.739986395,0.588364835,0.996933121,0.021177292
13,MNB-0014,0.877752902,0.853990716,0.747401751,0.996055985,0.035274029
14,MNB-0015,0.793292206,0.724965265,0.569553968,0.997061269,0.021026707
15,MNB-0016,0.892036831,0.873284597,0.77775567,0.995580038,0.021874905
16,MNB-0017,0.779779112,0.701531291,0.541074606,0.997327765,0.025002289
17,MNB-0018,0.758274598,0.66240615,0.49579055,0.997743036,0.020472336
18,MNB-0019,0.845189338,0.807523261,0.678932899,0.996236248,0.015707827
19,MNB-0020,0.791325798,0.721676457,0.5656076,0.996754304,0.031601477
20,MNB-0021,0.843584771,0.805142938,0.675578577,0.99621794,0.031250715
21,MNB-0022,0.833029152,0.789203386,0.653446271,0.996190613,0.01905961
22,MNB-0023,0.886735432,0.866239445,0.76673888,0.99543207,0.024996805
23,MNB-0024,0.85077392,0.815749828,0.690607507,0.996299221,0.025001097
24,MNB-0025,0.804398426,0.743596108,0.592968882,0.996847801,0.018750095
25,MNB-0026,0.950242251,0.945527535,0.902788693,0.992516043,0.028409529
26,MNB-0027,0.788037976,0.716022188,0.558668617,0.996830293,0.020292187
27,MNB-0028,0.793606826,0.725564048,0.570408993,0.996724784,0.025001144
28,MNB-0029,0.893578488,0.875359592,0.781274487,0.99522469,0.031251383
29,MNB-0030,0.961081009,0.957952222,0.926828314,0.991241978,0.022040367
30,MNB-0031,0.840926201,0.801171965,0.670020832,0.996186851,0.021876144
31,MNB-0032,0.79917568,0.734876177,0.581886292,0.997067237,0.028124523
32,MNB-0033,0.929461341,0.920899338,0.858392432,0.993227137,0.025028658
33,MNB-0034,0.781871366,0.705313801,0.545744453,0.996814584,0.031251526
34,MNB-0035,0.931065919,0.922850967,0.861911228,0.993066208,0.021876144
35,MNB-0036,0.803895028,0.742798416,0.592015188,0.996677967,0.02790947
36,MNB-0037,0.790790941,0.720765939,0.564489487,0.996747846,0.021878052
37,MNB-0038,0.762175937,0.669681994,0.504012092,0.997648533,0.018831158
38,MNB-0039,0.909120917,0.895555828,0.814522385,0.994499755,0.028127956
39,MNB-0040,0.922932876,0.912909135,0.84441576,0.99349913,0.024367189
40,MNB-0041,0.840328403,0.80025805,0.668705329,0.996276511,0.028128862
41,MNB-0042,0.854706728,0.821501163,0.698960623,0.99615678,0.021067905
42,MNB-0043,0.81369556,0.758762668,0.612536117,0.996735638,0.015625715
43,MNB-0044,0.949203985,0.944356628,0.901111483,0.991963162,0.028127098
44,MNB-0045,0.763308581,0.671786632,0.506412765,0.997596423,0.02187748
45,MNB-0046,0.912691897,0.900045418,0.821757334,0.994824509,0.026676321
46,MNB-0047,0.852944825,0.818929836,0.695211569,0.996229561,0.028126669
47,MNB-0048,0.760571355,0.666710471,0.500657705,0.997632905,0.02187748
48,MNB-0049,0.794818136,0.727560257,0.572776824,0.997021521,0.01589632
49,MNB-0050,0.942172159,0.936124917,0.885852392,0.992447057,0.018307924
50,MNB-0051,0.975711022,0.974121405,0.955702343,0.993266759,0.015626144
51,MNB-0052,0.798263273,0.733350707,0.579978906,0.997057633,0.021876192
52,MNB-0053,0.766737986,0.678097532,0.51364773,0.997502426,0.023884535
53,MNB-0054,0.846337721,0.809223841,0.681333609,0.996249208,0.021882391
54,MNB-0055,0.791341537,0.721637311,0.565443202,0.997098443,0.021873522
55,MNB-0056,0.848681667,0.812681029,0.686233632,0.996275357,0.018752861
56,MNB-0057,0.8583249,0.826703841,0.706458654,0.99628938,0.024997282
57,MNB-0058,0.783082667,0.707428704,0.548276682,0.996829234,0.02197814
58,MNB-0059,0.806003005,0.746244641,0.596356142,0.996810772,0.023464441
59,MNB-0060,0.794110226,0.726417002,0.571461354,0.996730776,0.021876621
60,MNB-0061,0.945491443,0.940027284,0.893054468,0.992217511,0.018750334
61,MNB-0062,0.775264269,0.693522517,0.531603448,0.997340535,0.021852541
62,MNB-0063,0.899147328,0.882683928,0.793179245,0.994967078,0.021872282
63,MNB-0064,0.928234299,0.91936972,0.855334001,0.993771601,0.018753767
64,MNB-0065,0.924301503,0.914592023,0.847309794,0.993483142,0.025003433
65,MNB-0066,0.828419934,0.782064507,0.643613406,0.996437177,0.021883488
66,MNB-0067,0.812547179,0.756912375,0.610135412,0.996722624,0.022686005
67,MNB-0068,0.798719484,0.734170525,0.581097067,0.996783779,0.018756247
68,MNB-0069,0.936949399,0.929893181,0.874144928,0.9932367,0.021954775
69,MNB-0070,0.854156124,0.820688483,0.697743788,0.996242971,0.022234678
70,MNB-0071,0.869667071,0.842821269,0.730531186,0.995920514,0.015626764
71,MNB-0072,0.920997946,0.910479344,0.839877493,0.994044976,0.021877575
72,MNB-0073,0.879215908,0.855999342,0.750525962,0.995985131,0.022211981
73,MNB-0074,0.956188615,0.952361747,0.915515521,0.99230064,0.025001669
74,MNB-0075,0.789359404,0.718234819,0.561266652,0.997134028,0.018753862
75,MNB-0076,0.785930012,0.712303964,0.554031746,0.997213648,0.021876526
76,MNB-0077,0.94429587,0.938599337,0.890061821,0.992737258,0.018529987
77,MNB-0078,0.930232165,0.921798188,0.859609208,0.993689284,0.018749762
78,MNB-0079,0.83774849,0.796389552,0.663377793,0.996148661,0.028130484
79,MNB-0080,0.966445339,0.963963926,0.938239775,0.991140985,0.025002337
80,MNB-0081,0.782579272,0.706550665,0.547224337,0.996823138,0.018751431
81,MNB-0082,0.932088443,0.924039525,0.863522648,0.993679993,0.025001812
82,MNB-0083,0.927935421,0.919038459,0.855070967,0.993352607,0.024960852
83,MNB-0084,0.90289135,0.887548917,0.801170556,0.994813777,0.028126001
84,MNB-0085,0.835939403,0.793649886,0.659595888,0.996126671,0.036992407
85,MNB-0086,0.862761078,0.833040717,0.715765338,0.996291462,0.029912996
86,MNB-0087,0.943871128,0.938121599,0.889469867,0.992404637,0.028126335
87,MNB-0088,0.937437056,0.930504322,0.875591869,0.992766271,0.026101351
88,MNB-0089,0.850537955,0.81542555,0.690212883,0.996155444,0.017436552
89,MNB-0090,0.796344063,0.730183527,0.576131217,0.99675661,0.021877003
90,MNB-0091,0.821954423,0.771959169,0.630031482,0.996463563,0.021873188
91,MNB-0092,0.779039743,0.700228704,0.539528943,0.997320184,0.01875124
92,MNB-0093,0.868329928,0.84095284,0.727735902,0.995904919,0.02506094
93,MNB-0094,0.830638022,0.785495728,0.648283193,0.996411875,0.030418301
94,MNB-0095,0.779385833,0.700952294,0.540548425,0.996784433,0.021876335
95,MNB-0096,0.89925744,0.882786834,0.79311345,0.99533662,0.021872711
96,MNB-0097,0.75869934,0.663197981,0.496678475,0.997746803,0.018751001
97,MNB-0098,0.780298241,0.702444311,0.542159846,0.997333161,0.028125334
98,MNB-0099,0.803297247,0.741811613,0.590765535,0.996670925,0.020809269
99,MNB-0100,0.776601415,0.695914368,0.534431627,0.997294381,0.021877193
