,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,LR-0001,1.0,1.0,1.0,1.0,0.012678861618041992
1,LR-0002,0.9999213428350021,0.9999177726238393,0.9998355641782337,1.0,0.015626192092895508
2,LR-0003,1.0,1.0,1.0,1.0,0.015633010864257814
3,LR-0004,0.998647117302385,0.9985860373827583,0.9986845512794202,0.9984875504754684,0.012499570846557617
4,LR-0005,0.9993707525789801,0.9993423513154781,0.9994409301028249,0.9992438211210268,0.013503789901733398
5,LR-0006,1.0,1.0,1.0,1.0,0.0069525718688964845
6,LR-0007,1.0,1.0,1.0,1.0,0.009377288818359374
7,LR-0008,0.9995909896712852,0.999572490111858,0.9996053659245909,0.9995396305096319,0.001002359390258789
8,LR-0009,1.0,1.0,1.0,1.0,0.00795278549194336
9,LR-0010,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.01570863723754883
10,LR-0011,1.0,1.0,1.0,1.0,0.006253433227539062
11,LR-0012,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.015592098236083984
12,LR-0013,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.0122772216796875
13,LR-0014,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.011476707458496094
14,LR-0015,1.0,1.0,1.0,1.0,0.01250314712524414
15,LR-0016,0.9977976377385417,0.9976979494983256,0.9976979633870731,0.9976981677957623,0.010278129577636718
16,LR-0017,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.009879159927368163
17,LR-0018,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.007955694198608398
18,LR-0019,1.0,1.0,1.0,1.0,0.010955572128295898
19,LR-0020,1.0,1.0,1.0,1.0,0.00937638282775879
20,LR-0021,0.9725805475886429,0.9713864065062647,0.9729676550607141,0.9698110296460586,0.008151531219482422
21,LR-0022,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.012503385543823242
22,LR-0023,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.013507366180419922
23,LR-0024,1.0,1.0,1.0,1.0,0.006226778030395508
24,LR-0025,1.0,1.0,1.0,1.0,0.006250762939453125
25,LR-0026,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.003727626800537109
26,LR-0027,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.016356182098388673
27,LR-0028,0.9954536943124058,0.9952474820847315,0.9951328554160399,0.995362321639651,0.01562819480895996
28,LR-0029,1.0,1.0,1.0,1.0,0.015704774856567384
29,LR-0030,1.0,1.0,1.0,1.0,0.007228851318359375
30,LR-0031,1.0,1.0,1.0,1.0,0.010757637023925782
31,LR-0032,1.0,1.0,1.0,1.0,0.010857963562011718
32,LR-0033,1.0,1.0,1.0,1.0,0.006226587295532227
33,LR-0034,1.0,1.0,1.0,1.0,0.010180091857910157
34,LR-0035,1.0,1.0,1.0,1.0,0.012505674362182617
35,LR-0036,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.015205812454223634
36,LR-0037,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.015629386901855467
37,LR-0038,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.012703418731689453
38,LR-0039,0.9988516274162242,0.9987997787118028,0.998914760348363,0.998684994143335,0.014302301406860351
39,LR-0040,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.009373664855957031
40,LR-0041,0.9998898814538475,0.9998848805923789,0.9997697963387072,1.0,0.012504291534423829
41,LR-0042,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.013381433486938477
42,LR-0043,1.0,1.0,1.0,1.0,0.009376239776611329
43,LR-0044,0.9999213428350021,0.9999177726238393,0.9998355641782337,1.0,0.009981250762939453
44,LR-0045,0.9532311869175396,0.9513748008976635,0.9564588187713159,0.9463450280963477,0.015863609313964844
45,LR-0046,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,0.007030916213989258
46,LR-0047,0.9985999252306529,0.9985367425812128,0.998651667359657,0.9984218582790639,0.006249856948852539
47,LR-0048,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,0.012178182601928711
48,LR-0049,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,0.010777473449707031
