,solver,random_state,penalty,max_iter,C,ID
0,liblinear,1973,l1,1000,91.71000000000001,LR-0001
1,saga,1973,l1,1000,53.199999999999996,LR-0002
2,saga,1973,l1,1000,67.08000000000001,LR-0003
3,liblinear,1973,l1,1000,86.85000000000001,LR-0004
4,saga,1973,l1,1000,86.79,LR-0005
5,saga,1973,l1,1000,76.67,LR-0006
6,saga,1973,l2,1000,4.26,LR-0007
7,liblinear,1973,l1,1000,90.10000000000001,LR-0008
8,saga,1973,l1,1000,41.449999999999996,LR-0009
9,saga,1973,l2,1000,62.589999999999996,LR-0010
10,saga,1973,l2,1000,44.589999999999996,LR-0011
11,saga,1973,l1,1000,30.650000000000002,LR-0012
12,liblinear,1973,l2,1000,97.22000000000001,LR-0013
13,liblinear,1973,l1,1000,85.22000000000001,LR-0014
14,saga,1973,l1,1000,21.430000000000003,LR-0015
15,liblinear,1973,l1,1000,63.88,LR-0016
16,liblinear,1973,l2,1000,52.18,LR-0017
17,liblinear,1973,l1,1000,50.97,LR-0018
18,saga,1973,l2,1000,15.23,LR-0019
19,liblinear,1973,l2,1000,16.790000000000003,LR-0020
20,saga,1973,l2,1000,97.31,LR-0021
21,saga,1973,l1,1000,66.45,LR-0022
22,saga,1973,l2,1000,88.12,LR-0023
23,liblinear,1973,l2,1000,22.360000000000003,LR-0024
24,liblinear,1973,l1,1000,67.41000000000001,LR-0025
25,liblinear,1973,l1,1000,85.17,LR-0026
26,liblinear,1973,l1,1000,71.51,LR-0027
27,liblinear,1973,l1,1000,64.46000000000001,LR-0028
28,liblinear,1973,l1,1000,17.090000000000003,LR-0029
29,liblinear,1973,l2,1000,95.93,LR-0030
30,liblinear,1973,l1,1000,43.8,LR-0031
31,liblinear,1973,l2,1000,47.23,LR-0032
32,liblinear,1973,l1,1000,71.10000000000001,LR-0033
33,saga,1973,l2,1000,19.400000000000002,LR-0034
34,saga,1973,l2,1000,43.3,LR-0035
35,liblinear,1973,l1,1000,13.51,LR-0036
36,saga,1973,l2,1000,13.93,LR-0037
37,saga,1973,l2,1000,93.82000000000001,LR-0038
38,saga,1973,l2,1000,77.26,LR-0039
39,liblinear,1973,l2,1000,98.62,LR-0040
40,saga,1973,l1,1000,71.25,LR-0041
41,liblinear,1973,l2,1000,75.48,LR-0042
42,saga,1973,l1,1000,85.09,LR-0043
43,saga,1973,l2,1000,94.76,LR-0044
44,liblinear,1973,l1,1000,90.51,LR-0045
45,liblinear,1973,l1,1000,38.26,LR-0046
46,saga,1973,l2,1000,16.64,LR-0047
47,liblinear,1973,l2,1000,41.93,LR-0048
48,liblinear,1973,l2,1000,56.82,LR-0049
49,liblinear,1973,l1,1000,72.98,LR-0050
50,liblinear,1973,l1,1000,73.14,LR-0051
51,liblinear,1973,l1,1000,75.88000000000001,LR-0052
52,liblinear,1973,l1,1000,87.75,LR-0053
53,liblinear,1973,l1,1000,19.630000000000003,LR-0054
54,liblinear,1973,l1,1000,42.51,LR-0055
55,liblinear,1973,l1,1000,92.65,LR-0056
56,liblinear,1973,l2,1000,70.69000000000001,LR-0057
57,liblinear,1973,l1,1000,39.519999999999996,LR-0058
58,saga,1973,l2,1000,71.34,LR-0059
59,saga,1973,l2,1000,1.77,LR-0060
60,saga,1973,l1,1000,0.9,LR-0061
61,saga,1973,l2,1000,88.07000000000001,LR-0062
62,saga,1973,l1,1000,43.839999999999996,LR-0063
63,saga,1973,l1,1000,16.39,LR-0064
64,saga,1973,l1,1000,28.880000000000003,LR-0065
65,liblinear,1973,l1,1000,24.05,LR-0066
66,liblinear,1973,l1,1000,54.39,LR-0067
67,liblinear,1973,l1,1000,40.949999999999996,LR-0068
68,liblinear,1973,l1,1000,93.67,LR-0069
69,saga,1973,l2,1000,29.040000000000003,LR-0070
70,saga,1973,l2,1000,22.240000000000002,LR-0071
71,saga,1973,l2,1000,87.37,LR-0072
72,liblinear,1973,l1,1000,33.86,LR-0073
73,liblinear,1973,l1,1000,63.25,LR-0074
74,liblinear,1973,l1,1000,55.79,LR-0075
75,saga,1973,l1,1000,33.92,LR-0076
76,liblinear,1973,l1,1000,22.98,LR-0077
77,liblinear,1973,l1,1000,91.39,LR-0078
78,saga,1973,l2,1000,99.22000000000001,LR-0079
79,liblinear,1973,l2,1000,4.6899999999999995,LR-0080
80,liblinear,1973,l1,1000,42.06,LR-0081
81,saga,1973,l1,1000,1.0,LR-0082
82,saga,1973,l1,1000,49.65,LR-0083
83,liblinear,1973,l2,1000,11.2,LR-0084
84,saga,1973,l2,1000,59.26,LR-0085
85,saga,1973,l2,1000,82.02000000000001,LR-0086
86,liblinear,1973,l2,1000,51.17,LR-0087
87,liblinear,1973,l2,1000,74.14,LR-0088
88,saga,1973,l1,1000,59.589999999999996,LR-0089
89,saga,1973,l2,1000,66.37,LR-0090
90,saga,1973,l1,1000,79.88000000000001,LR-0091
91,saga,1973,l2,1000,57.019999999999996,LR-0092
92,liblinear,1973,l1,1000,30.950000000000003,LR-0093
93,liblinear,1973,l1,1000,78.95,LR-0094
94,saga,1973,l1,1000,47.07,LR-0095
95,liblinear,1973,l2,1000,79.35000000000001,LR-0096
96,saga,1973,l1,1000,70.03,LR-0097
97,saga,1973,l2,1000,47.17,LR-0098
98,liblinear,1973,l1,1000,81.56,LR-0099
99,liblinear,1973,l1,1000,93.47000000000001,LR-0100
