,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,LR-0001,1.0,1.0,1.0,1.0,0.010228347778320313
1,LR-0002,1.0,1.0,1.0,1.0,0.009607696533203125
2,LR-0003,1.0,1.0,1.0,1.0,0.010805749893188476
3,LR-0004,1.0,1.0,1.0,1.0,0.0108184814453125
4,LR-0005,1.0,1.0,1.0,1.0,0.00840291976928711
5,LR-0006,1.0,1.0,1.0,1.0,0.007220315933227539
6,LR-0007,0.9851970527979835,0.9853194061788247,0.9856731421151969,0.984967190887445,0.007204627990722657
7,LR-0008,1.0,1.0,1.0,1.0,0.00962514877319336
8,LR-0009,1.0,1.0,1.0,1.0,0.008407211303710938
9,LR-0010,1.0,1.0,1.0,1.0,0.008173322677612305
10,LR-0011,1.0,1.0,1.0,1.0,0.010512733459472656
11,LR-0012,1.0,1.0,1.0,1.0,0.008507156372070312
12,LR-0013,1.0,1.0,1.0,1.0,0.009611272811889648
13,LR-0014,1.0,1.0,1.0,1.0,0.009507465362548827
14,LR-0015,1.0,1.0,1.0,1.0,0.007203435897827149
15,LR-0016,1.0,1.0,1.0,1.0,0.008419370651245118
16,LR-0017,1.0,1.0,1.0,1.0,0.010718917846679688
17,LR-0018,1.0,1.0,1.0,1.0,0.006002664566040039
18,LR-0019,0.9992262856429853,0.9992321735582447,0.998874261466413,0.9995904786012753,0.007414531707763672
19,LR-0020,0.9995873629847569,0.9995905047989169,0.999283625692723,0.9998975934459805,0.009111785888671875
20,LR-0021,1.0,1.0,1.0,1.0,0.008404541015625
21,LR-0022,1.0,1.0,1.0,1.0,0.008006906509399414
22,LR-0023,1.0,1.0,1.0,1.0,0.009613704681396485
23,LR-0024,1.0,1.0,1.0,1.0,0.008412504196166992
24,LR-0025,1.0,1.0,1.0,1.0,0.009600210189819335
25,LR-0026,1.0,1.0,1.0,1.0,0.010814380645751954
26,LR-0027,1.0,1.0,1.0,1.0,0.014119291305541992
27,LR-0028,1.0,1.0,1.0,1.0,0.012008190155029297
28,LR-0029,1.0,1.0,1.0,1.0,0.012214136123657227
29,LR-0030,1.0,1.0,1.0,1.0,0.009603214263916016
30,LR-0031,1.0,1.0,1.0,1.0,0.010796833038330077
31,LR-0032,1.0,1.0,1.0,1.0,0.009223365783691406
32,LR-0033,1.0,1.0,1.0,1.0,0.00840616226196289
33,LR-0034,0.9999484270242393,0.9999488360194423,0.9998976982097186,1.0,0.010810041427612304
34,LR-0035,1.0,1.0,1.0,1.0,0.012073230743408204
35,LR-0036,0.9995357900089962,0.9995393931533357,0.9993859274830044,0.9996930421669467,0.00895228385925293
36,LR-0037,0.9987620756519817,0.9987716452977928,0.9985672513854459,0.9989763008913741,0.009262609481811523
37,LR-0038,1.0,1.0,1.0,1.0,0.010807418823242187
38,LR-0039,1.0,1.0,1.0,1.0,0.007197332382202148
39,LR-0040,1.0,1.0,1.0,1.0,0.010413312911987304
40,LR-0041,1.0,1.0,1.0,1.0,0.010798501968383788
41,LR-0042,1.0,1.0,1.0,1.0,0.012011384963989258
42,LR-0043,1.0,1.0,1.0,1.0,0.010808324813842774
43,LR-0044,1.0,1.0,1.0,1.0,0.008714389801025391
44,LR-0045,1.0,1.0,1.0,1.0,0.012017297744750976
45,LR-0046,1.0,1.0,1.0,1.0,0.009710025787353516
46,LR-0047,0.9995873629847569,0.9995905047989169,0.999283625692723,0.9998975934459805,0.01295938491821289
47,LR-0048,1.0,1.0,1.0,1.0,0.00962834358215332
48,LR-0049,1.0,1.0,1.0,1.0,0.013907575607299804
49,LR-0050,1.0,1.0,1.0,1.0,0.012887334823608399
50,LR-0051,1.0,1.0,1.0,1.0,0.015615367889404297
51,LR-0052,1.0,1.0,1.0,1.0,0.011991405487060547
52,LR-0053,1.0,1.0,1.0,1.0,0.01644749641418457
53,LR-0054,1.0,1.0,1.0,1.0,0.013225030899047852
54,LR-0055,1.0,1.0,1.0,1.0,0.014409399032592774
55,LR-0056,1.0,1.0,1.0,1.0,0.012224721908569335
56,LR-0057,1.0,1.0,1.0,1.0,0.016834306716918945
57,LR-0058,1.0,1.0,1.0,1.0,0.009612941741943359
58,LR-0059,1.0,1.0,1.0,1.0,0.009726238250732423
59,LR-0060,0.9601299793295727,0.9608982567214385,0.9719610897182512,0.9500907280045183,0.009596157073974609
60,LR-0061,0.8912210610358254,0.8948629559040198,0.9184400809409251,0.8724705486678586,0.006597328186035156
61,LR-0062,1.0,1.0,1.0,1.0,0.00840001106262207
62,LR-0063,1.0,1.0,1.0,1.0,0.0072059154510498045
63,LR-0064,1.0,1.0,1.0,1.0,0.009612369537353515
64,LR-0065,1.0,1.0,1.0,1.0,0.0072098255157470705
65,LR-0066,1.0,1.0,1.0,1.0,0.009161853790283203
66,LR-0067,1.0,1.0,1.0,1.0,0.01257619857788086
67,LR-0068,1.0,1.0,1.0,1.0,0.008869171142578125
68,LR-0069,1.0,1.0,1.0,1.0,0.010904407501220703
69,LR-0070,1.0,1.0,1.0,1.0,0.009730863571166991
70,LR-0071,1.0,1.0,1.0,1.0,0.008821439743041993
71,LR-0072,1.0,1.0,1.0,1.0,0.009611749649047851
72,LR-0073,1.0,1.0,1.0,1.0,0.00961003303527832
73,LR-0074,1.0,1.0,1.0,1.0,0.013199281692504884
74,LR-0075,1.0,1.0,1.0,1.0,0.008415317535400391
75,LR-0076,1.0,1.0,1.0,1.0,0.009211921691894531
76,LR-0077,1.0,1.0,1.0,1.0,0.007009696960449219
77,LR-0078,1.0,1.0,1.0,1.0,0.009225845336914062
78,LR-0079,1.0,1.0,1.0,1.0,0.006006860733032226
79,LR-0080,0.9870539060642877,0.9871622148521842,0.9876175043912807,0.9867101002008015,0.011456823348999024
80,LR-0081,1.0,1.0,1.0,1.0,0.009602880477905274
81,LR-0082,0.8956052561601904,0.8988629130950482,0.920384338506886,0.8783324135897768,0.009604883193969727
82,LR-0083,1.0,1.0,1.0,1.0,0.009255456924438476
83,LR-0084,0.997472658141939,0.9974922305878413,0.9973392634166389,0.9976459556138491,0.009067010879516602
84,LR-0085,1.0,1.0,1.0,1.0,0.00897531509399414
85,LR-0086,1.0,1.0,1.0,1.0,0.011612987518310547
86,LR-0087,1.0,1.0,1.0,1.0,0.009712743759155273
87,LR-0088,1.0,1.0,1.0,1.0,0.012005901336669922
88,LR-0089,1.0,1.0,1.0,1.0,0.006061458587646484
89,LR-0090,1.0,1.0,1.0,1.0,0.009753036499023437
90,LR-0091,1.0,1.0,1.0,1.0,0.00581965446472168
91,LR-0092,1.0,1.0,1.0,1.0,0.00960679054260254
92,LR-0093,1.0,1.0,1.0,1.0,0.00840773582458496
93,LR-0094,1.0,1.0,1.0,1.0,0.010814952850341796
94,LR-0095,1.0,1.0,1.0,1.0,0.007609796524047851
95,LR-0096,1.0,1.0,1.0,1.0,0.010799360275268555
96,LR-0097,1.0,1.0,1.0,1.0,0.007215738296508789
97,LR-0098,1.0,1.0,1.0,1.0,0.010810756683349609
98,LR-0099,1.0,1.0,1.0,1.0,0.0072021961212158205
99,LR-0100,1.0,1.0,1.0,1.0,0.008806800842285157
