,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,SVM-0001,1.0,1.0,1.0,1.0,6.160455656051636
1,SVM-0002,1.0,1.0,1.0,1.0,9.666792678833009
2,SVM-0003,0.9991747126672248,0.9991813761905256,0.999283625692723,0.9990793358676356,5.805363130569458
3,SVM-0004,1.0,1.0,1.0,1.0,5.840688419342041
4,SVM-0005,1.0,1.0,1.0,1.0,5.8155721664428714
5,SVM-0006,1.0,1.0,1.0,1.0,7.899274253845215
6,SVM-0007,1.0,1.0,1.0,1.0,5.821027612686157
7,SVM-0008,0.9991747126672248,0.9991813761905256,0.999283625692723,0.9990793358676356,5.823652172088623
8,SVM-0009,1.0,1.0,1.0,1.0,7.473264503479004
9,SVM-0010,1.0,1.0,1.0,1.0,9.635898733139038
10,SVM-0011,1.0,1.0,1.0,1.0,10.318022775650025
11,SVM-0012,1.0,1.0,1.0,1.0,5.872893905639648
12,SVM-0013,1.0,1.0,1.0,1.0,9.196430730819703
13,SVM-0014,1.0,1.0,1.0,1.0,12.367299699783326
14,SVM-0015,1.0,1.0,1.0,1.0,5.828067445755005
15,SVM-0016,1.0,1.0,1.0,1.0,12.329117727279662
16,SVM-0017,1.0,1.0,1.0,1.0,10.168269205093384
17,SVM-0018,1.0,1.0,1.0,1.0,5.866376638412476
18,SVM-0019,0.9975242311176997,0.9975449653430786,0.9978509294332303,0.9972397308304819,5.859998512268066
19,SVM-0020,1.0,1.0,1.0,1.0,12.21772747039795
20,SVM-0021,1.0,1.0,1.0,1.0,5.805538368225098
21,SVM-0022,0.9819476759769833,0.9821349404982653,0.9845477700670406,0.9797364711982883,5.949768733978272
22,SVM-0023,1.0,1.0,1.0,1.0,8.92287187576294
23,SVM-0024,1.0,1.0,1.0,1.0,7.99519305229187
24,SVM-0025,1.0,1.0,1.0,1.0,10.827403688430786
25,SVM-0026,0.9997936814923785,0.99979531788684,0.9997953440643759,0.9997953964194373,5.792922306060791
26,SVM-0027,1.0,1.0,1.0,1.0,7.654459762573242
27,SVM-0028,0.9911801697984025,0.9912590342310542,0.992222707960849,0.9902991082504784,5.897739458084106
28,SVM-0029,1.0,1.0,1.0,1.0,5.863404178619385
29,SVM-0030,0.9991747126672248,0.9991813761905256,0.999283625692723,0.9990793358676356,5.869727706909179
30,SVM-0031,1.0,1.0,1.0,1.0,7.520430374145508
31,SVM-0032,1.0,1.0,1.0,1.0,11.079095935821533
32,SVM-0033,1.0,1.0,1.0,1.0,7.464044761657715
33,SVM-0034,1.0,1.0,1.0,1.0,10.32363028526306
34,SVM-0035,1.0,1.0,1.0,1.0,5.836119985580444
35,SVM-0036,1.0,1.0,1.0,1.0,10.34442663192749
36,SVM-0037,1.0,1.0,1.0,1.0,5.8625123500823975
37,SVM-0038,0.9922633220099811,0.9923319374875419,0.9932459352839084,0.9914207893387029,5.88927526473999
38,SVM-0039,0.9999484137219501,0.9999488360194423,1.0,0.9998976982097186,5.833264589309692
39,SVM-0040,1.0,1.0,1.0,1.0,12.338171911239623
40,SVM-0041,0.9299567156807254,0.9326125060960742,0.9616249440455279,0.9053013316997813,7.204323816299438
41,SVM-0042,1.0,1.0,1.0,1.0,10.38008909225464
42,SVM-0043,1.0,1.0,1.0,1.0,5.85758605003357
43,SVM-0044,1.0,1.0,1.0,1.0,12.379324865341186
44,SVM-0045,1.0,1.0,1.0,1.0,10.238613986968994
45,SVM-0046,0.5040231044803042,0.6702331884034983,1.0,0.5040231044803042,11.80538535118103
46,SVM-0047,1.0,1.0,1.0,1.0,5.859424352645874
47,SVM-0048,1.0,1.0,1.0,1.0,12.313841772079467
48,SVM-0049,1.0,1.0,1.0,1.0,5.826214742660523
49,SVM-0050,1.0,1.0,1.0,1.0,5.863868379592896
50,SVM-0051,1.0,1.0,1.0,1.0,11.484174919128417
51,SVM-0052,1.0,1.0,1.0,1.0,9.635666799545287
