,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,RFC-0001,0.89760583,0.891344099,0.877992876,0.905125212,1.21005497
1,RFC-0002,0.824314203,0.80814101,0.773513698,0.846033176,2.31093421
2,RFC-0003,0.521646112,0,0,0,1.710594845
3,RFC-0004,0.999276365,0.999244137,0.999901337,0.998587881,0.943931055
4,RFC-0005,0.888481644,0.881014625,0.863095211,0.899711592,1.373149395
5,RFC-0006,0.521646112,0,0,0,0.863095856
6,RFC-0007,0.757142065,0.71195554,0.627400979,0.822886249,3.15222435
7,RFC-0008,0.52369116,0.008501127,0.004275164,1,0.506655502
8,RFC-0009,0.521646112,0,0,0,1.244652748
9,RFC-0010,0.521724772,0.000328753,0.000164447,0.4,1.122949648
10,RFC-0011,0.886216413,0.878867417,0.862898,0.895457139,1.535607386
11,RFC-0012,0.521646112,0,0,0,0.697427988
12,RFC-0013,0.521646112,0,0,0,1.804523897
13,RFC-0014,0.790492128,0.766461045,0.718692548,0.821079818,3.471362019
14,RFC-0015,0.521646112,0,0,0,0.71924572
15,RFC-0016,0.521646112,0,0,0,1.885794544
16,RFC-0017,0.543512533,0.087926962,0.046040819,0.992465548,0.564355278
17,RFC-0018,0.521693308,0.000197239,9.87E-05,0.2,0.709366083
18,RFC-0019,0.806254862,0.786606049,0.746547424,0.831254981,1.539380074
19,RFC-0020,0.521646112,0,0,0,0.960113382
20,RFC-0021,0.847045737,0.833608359,0.800842323,0.869273955,0.700693321
21,RFC-0022,0.972454728,0.971369015,0.976815404,0.965986103,1.057465458
22,RFC-0023,0.830732485,0.815772575,0.783412244,0.850949703,1.241722775
23,RFC-0024,0.801519726,0.78015243,0.73622084,0.82969211,2.058172369
24,RFC-0025,0.819280213,0.802042709,0.765292123,0.842523379,3.165006447
25,RFC-0026,0.521756236,0.00046018,0.000230225,0.4,0.516073322
26,RFC-0027,0.700966166,0.59711787,0.463430778,0.841262178,0.578625107
27,RFC-0028,0.521646112,0,0,0,3.393650007
28,RFC-0029,0.521646112,0,0,0,1.089224243
29,RFC-0030,0.521646112,0,0,0,2.736221361
30,RFC-0031,0.822615295,0.806067836,0.770619886,0.844958811,2.661177015
31,RFC-0032,0.717735551,0.646192886,0.538871984,0.806945639,2.579994965
32,RFC-0033,0.521646112,0,0,0,2.020262527
33,RFC-0034,0.841099375,0.82798658,0.799428033,0.858677635,1.048152924
34,RFC-0035,0.521646112,0,0,0,1.141622639
35,RFC-0036,0.79395301,0.770809079,0.724316185,0.823702236,2.761900806
36,RFC-0037,0.906415185,0.901104578,0.891344418,0.911100743,2.542171526
37,RFC-0038,0.790382053,0.766685653,0.720008094,0.819867781,2.010404968
38,RFC-0039,0.521646112,0,0,0,0.922701168
39,RFC-0040,0.619557019,0.354383603,0.21895536,0.940394845,1.338395452
40,RFC-0041,0.55683673,0.13724532,0.073697515,0.998249394,2.883045292
41,RFC-0042,0.801598367,0.780909611,0.739147622,0.827694579,2.366601515
42,RFC-0043,0.521646112,0,0,0,1.723238611
43,RFC-0044,0.521646112,0,0,0,1.926278448
44,RFC-0045,0.720488377,0.649598859,0.541633806,0.811359609,2.123025322
