,random_state,kernel,gamma,degree,C,ID
0,1973,poly,7.01,1,8.67,SVC-0001
1,1973,poly,9.11,1,3.4,SVC-0002
2,1973,linear,4.87,3,5.04,SVC-0003
3,1973,poly,1.98,3,1.45,SVC-0004
4,1973,rbf,5.7,1,1.61,SVC-0005
5,1973,poly,5.06,4,0.43,SVC-0006
6,1973,rbf,5.63,3,3.44,SVC-0007
7,1973,poly,5.1899999999999995,5,0.62,SVC-0008
8,1973,rbf,3.63,4,6.96,SVC-0009
9,1973,linear,0.65,5,4.64,SVC-0010
10,1973,poly,2.8499999999999996,5,6.01,SVC-0011
11,1973,poly,2.63,2,9.5,SVC-0012
12,1973,linear,1.09,2,3.55,SVC-0013
13,1973,poly,0.5700000000000001,4,7.0,SVC-0014
14,1973,rbf,6.15,4,2.5999999999999996,SVC-0015
15,1973,poly,4.64,5,2.4,SVC-0016
16,1973,linear,2.9299999999999997,1,2.52,SVC-0017
17,1973,rbf,6.4799999999999995,5,8.88,SVC-0018
18,1973,rbf,7.1899999999999995,2,2.88,SVC-0019
19,1973,poly,9.07,1,0.4,SVC-0020
20,1973,rbf,0.76,1,6.2299999999999995,SVC-0021
21,1973,rbf,2.27,1,9.54,SVC-0022
22,1973,rbf,2.9299999999999997,5,7.15,SVC-0023
23,1973,linear,0.62,3,4.6899999999999995,SVC-0024
24,1973,poly,3.78,1,3.7199999999999998,SVC-0025
25,1973,poly,0.61,2,2.4,SVC-0026
26,1973,poly,8.1,1,7.04,SVC-0027
27,1973,poly,9.52,1,5.32,SVC-0028
28,1973,rbf,9.93,2,6.9799999999999995,SVC-0029
29,1973,rbf,1.3,4,4.08,SVC-0030
30,1973,rbf,5.81,4,5.89,SVC-0031
31,1973,poly,7.53,3,4.8,SVC-0032
32,1973,poly,6.75,3,8.02,SVC-0033
33,1973,poly,9.55,1,3.82,SVC-0034
34,1973,poly,7.1899999999999995,3,3.59,SVC-0035
35,1973,rbf,7.9799999999999995,3,3.5999999999999996,SVC-0036
36,1973,rbf,0.16,2,5.92,SVC-0037
37,1973,poly,1.23,1,9.07,SVC-0038
38,1973,poly,3.5,1,1.48,SVC-0039
39,1973,poly,4.57,2,4.95,SVC-0040
40,1973,linear,9.09,3,5.46,SVC-0041
41,1973,linear,2.27,4,3.98,SVC-0042
42,1973,rbf,9.47,1,5.68,SVC-0043
43,1973,poly,5.61,1,2.0799999999999996,SVC-0044
44,1973,poly,8.7,1,3.51,SVC-0045
45,1973,rbf,4.7299999999999995,3,1.33,SVC-0046
46,1973,rbf,6.26,5,4.37,SVC-0047
47,1973,rbf,8.35,2,9.83,SVC-0048
48,1973,linear,5.72,4,7.1,SVC-0049
49,1973,poly,8.81,1,8.58,SVC-0050
50,1973,poly,3.6999999999999997,5,2.9499999999999997,SVC-0051
51,1973,poly,2.65,1,1.22,SVC-0052
52,1973,poly,1.31,4,3.4699999999999998,SVC-0053
53,1973,linear,9.86,1,3.6799999999999997,SVC-0054
54,1973,rbf,6.93,4,4.91,SVC-0055
55,1973,linear,7.64,1,5.4799999999999995,SVC-0056
56,1973,linear,0.86,4,9.08,SVC-0057
57,1973,linear,3.3899999999999997,4,0.8300000000000001,SVC-0058
58,1973,poly,3.06,5,2.05,SVC-0059
59,1973,rbf,7.63,1,7.65,SVC-0060
60,1973,linear,3.59,4,7.9,SVC-0061
61,1973,rbf,8.17,1,4.97,SVC-0062
62,1973,rbf,2.6599999999999997,2,3.29,SVC-0063
63,1973,poly,7.96,4,1.99,SVC-0064
64,1973,linear,7.45,5,3.3,SVC-0065
65,1973,poly,9.03,3,7.75,SVC-0066
66,1973,rbf,6.72,3,8.32,SVC-0067
67,1973,rbf,4.89,1,7.94,SVC-0068
68,1973,rbf,9.09,4,0.87,SVC-0069
69,1973,poly,1.18,5,0.33,SVC-0070
70,1973,linear,2.86,2,8.76,SVC-0071
71,1973,linear,8.89,2,6.88,SVC-0072
72,1973,linear,9.41,2,1.98,SVC-0073
73,1973,rbf,8.88,2,0.09999999999999999,SVC-0074
74,1973,linear,9.64,2,9.95,SVC-0075
75,1973,linear,4.45,1,3.0,SVC-0076
76,1973,poly,0.41000000000000003,1,2.73,SVC-0077
77,1973,rbf,2.75,2,0.88,SVC-0078
78,1973,linear,9.78,1,0.25,SVC-0079
79,1973,rbf,3.82,4,5.82,SVC-0080
80,1973,linear,7.79,3,5.14,SVC-0081
81,1973,rbf,0.9600000000000001,5,4.83,SVC-0082
82,1973,rbf,5.66,2,5.43,SVC-0083
83,1973,rbf,1.51,1,9.78,SVC-0084
84,1973,rbf,7.67,5,1.96,SVC-0085
85,1973,rbf,2.1199999999999997,1,9.04,SVC-0086
86,1973,linear,6.15,4,6.32,SVC-0087
87,1973,poly,9.22,3,2.84,SVC-0088
88,1973,rbf,1.6400000000000001,1,7.72,SVC-0089
89,1973,rbf,0.26,5,1.78,SVC-0090
90,1973,poly,6.95,4,4.4399999999999995,SVC-0091
91,1973,rbf,8.14,3,5.22,SVC-0092
92,1973,linear,2.67,3,3.0999999999999996,SVC-0093
93,1973,poly,6.06,1,6.06,SVC-0094
94,1973,rbf,4.66,5,3.76,SVC-0095
95,1973,rbf,4.76,2,5.74,SVC-0096
96,1973,linear,5.8,3,3.9299999999999997,SVC-0097
97,1973,poly,7.09,2,9.98,SVC-0098
98,1973,poly,0.52,5,4.13,SVC-0099
99,1973,poly,2.34,2,6.4799999999999995,SVC-0100
