,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,SVC-0001,1.0,1.0,1.0,1.0,39.95430068969726
1,SVC-0002,1.0,1.0,1.0,1.0,40.103997755050656
2,SVC-0003,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,40.04118790626526
3,SVC-0004,1.0,1.0,1.0,1.0,81.88649797439575
4,SVC-0005,1.0,1.0,1.0,1.0,119.07306456565857
5,SVC-0006,1.0,1.0,1.0,1.0,96.19644093513489
6,SVC-0007,1.0,1.0,1.0,1.0,118.8973249912262
7,SVC-0008,1.0,1.0,1.0,1.0,106.66464214324951
8,SVC-0009,1.0,1.0,1.0,1.0,106.94286189079284
9,SVC-0010,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,39.80817875862122
10,SVC-0011,1.0,1.0,1.0,1.0,107.2616602420807
11,SVC-0012,1.0,1.0,1.0,1.0,64.08524489402771
12,SVC-0013,0.9997011069800674,0.9996875689618797,0.9996382498443545,0.9997368961906574,39.910352087020875
13,SVC-0014,0.9985527269720688,0.9984865281763733,0.9980268188076552,0.9989467023951993,96.31932797431946
14,SVC-0015,1.0,1.0,1.0,1.0,119.76918783187867
15,SVC-0016,1.0,1.0,1.0,1.0,105.33000354766845
16,SVC-0017,0.9990246637752043,0.9989805984000124,0.9990462906197658,0.9989150519403391,39.84574933052063
17,SVC-0018,1.0,1.0,1.0,1.0,120.03882112503052
18,SVC-0019,1.0,1.0,1.0,1.0,121.60995297431946
19,SVC-0020,0.9997168376706448,0.9997040041627546,0.9996382498443545,0.9997697692951206,39.73121290206909
20,SVC-0021,1.0,1.0,1.0,1.0,56.978126525878906
21,SVC-0022,1.0,1.0,1.0,1.0,86.24447898864746
22,SVC-0023,1.0,1.0,1.0,1.0,97.4183883190155
23,SVC-0024,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,39.6894437789917
24,SVC-0025,0.9999528054535272,0.9999506646564118,0.9999013374254103,1.0,40.33991966247559
25,SVC-0026,0.9978133709038598,0.9977142416722729,0.9976322117704965,0.9977963498352809,63.230218982696535
26,SVC-0027,1.0,1.0,1.0,1.0,39.884642887115476
27,SVC-0028,1.0,1.0,1.0,1.0,39.96513381004333
28,SVC-0029,1.0,1.0,1.0,1.0,120.77614932060241
29,SVC-0030,1.0,1.0,1.0,1.0,67.31739892959595
30,SVC-0031,1.0,1.0,1.0,1.0,119.744788646698
31,SVC-0032,1.0,1.0,1.0,1.0,77.20647192001343
32,SVC-0033,1.0,1.0,1.0,1.0,74.93933153152466
33,SVC-0034,1.0,1.0,1.0,1.0,39.75413522720337
34,SVC-0035,1.0,1.0,1.0,1.0,79.48065061569214
35,SVC-0036,1.0,1.0,1.0,1.0,123.1725477218628
36,SVC-0037,0.9980021404281582,0.9979126857469893,0.9983557012664879,0.9974701633273039,43.7657331943512
37,SVC-0038,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,42.61367788314819
38,SVC-0039,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,41.087921905517575
39,SVC-0040,1.0,1.0,1.0,1.0,63.91588907241821
40,SVC-0041,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,40.00942301750183
41,SVC-0042,0.9998112255262199,0.9998026694407244,0.999736907011294,0.9998684480962183,40.10807461738587
42,SVC-0043,1.0,1.0,1.0,1.0,120.73836331367492
43,SVC-0044,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,39.63315253257751
44,SVC-0045,1.0,1.0,1.0,1.0,39.9309606552124
45,SVC-0046,1.0,1.0,1.0,1.0,116.76194257736206
46,SVC-0047,1.0,1.0,1.0,1.0,120.70077753067017
47,SVC-0048,1.0,1.0,1.0,1.0,120.14767813682556
48,SVC-0049,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,39.929600620269774
49,SVC-0050,1.0,1.0,1.0,1.0,39.37890071868897
50,SVC-0051,1.0,1.0,1.0,1.0,106.5500180721283
51,SVC-0052,0.9996381817430171,0.9996217632639108,0.9995067033500012,0.9997368529187817,39.61176681518555
52,SVC-0053,1.0,1.0,1.0,1.0,96.44490065574647
53,SVC-0054,0.9997325695985925,0.9997204474737703,0.9996382498443545,0.9998026640319628,39.88242211341858
54,SVC-0055,1.0,1.0,1.0,1.0,120.11793112754822
55,SVC-0056,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,39.831011581420896
56,SVC-0057,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,39.956414747238156
57,SVC-0058,0.9902466711610437,0.9898080112230513,0.9900684127211508,0.9895478716772738,43.239095306396486
58,SVC-0059,1.0,1.0,1.0,1.0,107.36964983940125
59,SVC-0060,1.0,1.0,1.0,1.0,120.08524270057679
60,SVC-0061,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,39.866467237472534
61,SVC-0062,1.0,1.0,1.0,1.0,120.95432376861572
62,SVC-0063,1.0,1.0,1.0,1.0,92.62802429199219
63,SVC-0064,1.0,1.0,1.0,1.0,89.3041965007782
64,SVC-0065,0.9996381817430171,0.9996217632639108,0.9995067033500012,0.9997368529187817,39.74296503067016
65,SVC-0066,1.0,1.0,1.0,1.0,74.90110893249512
66,SVC-0067,1.0,1.0,1.0,1.0,120.63584332466125
67,SVC-0068,1.0,1.0,1.0,1.0,117.89632568359374
68,SVC-0069,1.0,1.0,1.0,1.0,121.23795437812805
69,SVC-0070,0.9994179458880825,0.9993917190920826,0.9995395926774145,0.9992439291852083,107.21975340843201
70,SVC-0071,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,40.3671199798584
71,SVC-0072,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,40.16993627548218
72,SVC-0073,0.9979077550473239,0.9978136503415277,0.9980597297656686,0.9975677838376811,40.631100225448606
73,SVC-0074,0.5216461120255073,0.0,0.0,0.0,121.24419074058532
74,SVC-0075,0.9999370747629499,0.9999342213447289,0.9998684535056471,1.0,39.982953786849976
75,SVC-0076,0.9994651391971849,0.9994409300888198,0.9994409301028249,0.9994409570966191,40.26014466285706
76,SVC-0077,0.9937075307392828,0.993422676805889,0.9934227942506514,0.9934229084447093,41.66629824638367
77,SVC-0078,0.9995909884339147,0.9995726063387791,0.9998684535056471,0.9992769374311132,93.5957953453064
78,SVC-0079,0.9662566119972891,0.9648318735683972,0.9676400653006187,0.9620422832880864,54.64863257408142
79,SVC-0080,1.0,1.0,1.0,1.0,109.85727262496948
80,SVC-0081,0.9998741495258996,0.9998684318714893,0.999736907011294,1.0,39.89959802627563
81,SVC-0082,1.0,1.0,1.0,1.0,60.80694060325622
82,SVC-0083,1.0,1.0,1.0,1.0,121.06850094795227
83,SVC-0084,1.0,1.0,1.0,1.0,71.92701368331909
84,SVC-0085,1.0,1.0,1.0,1.0,121.06005673408508
85,SVC-0086,1.0,1.0,1.0,1.0,83.14989414215088
86,SVC-0087,0.9999213428350021,0.9999177726238393,0.9998355641782337,1.0,39.78887968063354
87,SVC-0088,1.0,1.0,1.0,1.0,75.80818343162537
88,SVC-0089,1.0,1.0,1.0,1.0,73.78014512062073
89,SVC-0090,0.9914422395286628,0.9910587725063251,0.9914825132010201,0.9906355883973476,47.81605153083801
90,SVC-0091,1.0,1.0,1.0,1.0,89.18434171676635
91,SVC-0092,1.0,1.0,1.0,1.0,120.13906488418579
92,SVC-0093,0.9995752577433373,0.9995560116486694,0.9995067033500012,0.9996053388721112,39.71626353263855
93,SVC-0094,1.0,1.0,1.0,1.0,39.688115167617795
94,SVC-0095,1.0,1.0,1.0,1.0,116.3679419517517
95,SVC-0096,1.0,1.0,1.0,1.0,116.9003954410553
96,SVC-0097,0.9997954948356427,0.9997862261290414,0.9997040230915306,0.9998684480962183,39.918558025360106
97,SVC-0098,1.0,1.0,1.0,1.0,62.290825843811035
98,SVC-0099,0.5861754946923552,0.23858600029345206,0.1355566994537895,0.995202338702432,114.87830839157104
99,SVC-0100,1.0,1.0,1.0,1.0,62.10408082008362
