,random_state,kernel,gamma,degree,C,ID
0,1973,poly,7.01,1,8.67,SVM-0001
1,1973,poly,9.11,1,3.4,SVM-0002
2,1973,linear,4.87,3,5.04,SVM-0003
3,1973,poly,1.98,3,1.45,SVM-0004
4,1973,rbf,5.7,1,1.61,SVM-0005
5,1973,poly,5.06,4,0.43,SVM-0006
6,1973,rbf,5.63,3,3.44,SVM-0007
7,1973,poly,5.19,5,0.62,SVM-0008
8,1973,rbf,3.63,4,6.96,SVM-0009
9,1973,linear,0.65,5,4.64,SVM-0010
10,1973,poly,2.85,5,6.01,SVM-0011
11,1973,poly,2.63,2,9.5,SVM-0012
12,1973,linear,1.09,2,3.55,SVM-0013
13,1973,poly,0.57,4,7,SVM-0014
14,1973,rbf,6.15,4,2.6,SVM-0015
15,1973,poly,4.64,5,2.4,SVM-0016
16,1973,linear,2.93,1,2.52,SVM-0017
17,1973,rbf,6.48,5,8.88,SVM-0018
18,1973,rbf,7.19,2,2.88,SVM-0019
19,1973,poly,9.07,1,0.4,SVM-0020
20,1973,rbf,0.76,1,6.23,SVM-0021
21,1973,rbf,2.27,1,9.54,SVM-0022
22,1973,rbf,2.93,5,7.15,SVM-0023
23,1973,linear,0.62,3,4.69,SVM-0024
24,1973,poly,3.78,1,3.72,SVM-0025
25,1973,poly,0.61,2,2.4,SVM-0026
26,1973,poly,8.1,1,7.04,SVM-0027
27,1973,poly,9.52,1,5.32,SVM-0028
28,1973,rbf,9.93,2,6.98,SVM-0029
29,1973,rbf,1.3,4,4.08,SVM-0030
30,1973,rbf,5.81,4,5.89,SVM-0031
31,1973,poly,7.53,3,4.8,SVM-0032
32,1973,poly,6.75,3,8.02,SVM-0033
33,1973,poly,9.55,1,3.82,SVM-0034
34,1973,poly,7.19,3,3.59,SVM-0035
35,1973,rbf,7.98,3,3.6,SVM-0036
36,1973,rbf,0.16,2,5.92,SVM-0037
37,1973,poly,1.23,1,9.07,SVM-0038
38,1973,poly,3.5,1,1.48,SVM-0039
39,1973,poly,4.57,2,4.95,SVM-0040
40,1973,linear,9.09,3,5.46,SVM-0041
41,1973,linear,2.27,4,3.98,SVM-0042
42,1973,rbf,9.47,1,5.68,SVM-0043
43,1973,poly,5.61,1,2.08,SVM-0044
44,1973,poly,8.7,1,3.51,SVM-0045
45,1973,rbf,4.73,3,1.33,SVM-0046
46,1973,rbf,6.26,5,4.37,SVM-0047
47,1973,rbf,8.35,2,9.83,SVM-0048
48,1973,linear,5.72,4,7.1,SVM-0049
49,1973,poly,8.81,1,8.58,SVM-0050
50,1973,poly,3.7,5,2.95,SVM-0051
51,1973,poly,2.65,1,1.22,SVM-0052
52,1973,poly,1.31,4,3.47,SVM-0053
53,1973,linear,9.86,1,3.68,SVM-0054
54,1973,rbf,6.93,4,4.91,SVM-0055
55,1973,linear,7.64,1,5.48,SVM-0056
56,1973,linear,0.86,4,9.08,SVM-0057
57,1973,linear,3.39,4,0.83,SVM-0058
58,1973,poly,3.06,5,2.05,SVM-0059
59,1973,rbf,7.63,1,7.65,SVM-0060
60,1973,linear,3.59,4,7.9,SVM-0061
61,1973,rbf,8.17,1,4.97,SVM-0062
62,1973,rbf,2.66,2,3.29,SVM-0063
63,1973,poly,7.96,4,1.99,SVM-0064
64,1973,linear,7.45,5,3.3,SVM-0065
65,1973,poly,9.03,3,7.75,SVM-0066
66,1973,rbf,6.72,3,8.32,SVM-0067
67,1973,rbf,4.89,1,7.94,SVM-0068
68,1973,rbf,9.09,4,0.87,SVM-0069
69,1973,poly,1.18,5,0.33,SVM-0070
70,1973,linear,2.86,2,8.76,SVM-0071
71,1973,linear,8.89,2,6.88,SVM-0072
72,1973,linear,9.41,2,1.98,SVM-0073
73,1973,rbf,8.88,2,0.1,SVM-0074
74,1973,linear,9.64,2,9.95,SVM-0075
75,1973,linear,4.45,1,3,SVM-0076
76,1973,poly,0.41,1,2.73,SVM-0077
77,1973,rbf,2.75,2,0.88,SVM-0078
78,1973,linear,9.78,1,0.25,SVM-0079
79,1973,rbf,3.82,4,5.82,SVM-0080
80,1973,linear,7.79,3,5.14,SVM-0081
81,1973,rbf,0.96,5,4.83,SVM-0082
82,1973,rbf,5.66,2,5.43,SVM-0083
83,1973,rbf,1.51,1,9.78,SVM-0084
84,1973,rbf,7.67,5,1.96,SVM-0085
85,1973,rbf,2.12,1,9.04,SVM-0086
86,1973,linear,6.15,4,6.32,SVM-0087
87,1973,poly,9.22,3,2.84,SVM-0088
88,1973,rbf,1.64,1,7.72,SVM-0089
89,1973,rbf,0.26,5,1.78,SVM-0090
90,1973,poly,6.95,4,4.44,SVM-0091
91,1973,rbf,8.14,3,5.22,SVM-0092
92,1973,linear,2.67,3,3.1,SVM-0093
93,1973,poly,6.06,1,6.06,SVM-0094
94,1973,rbf,4.66,5,3.76,SVM-0095
95,1973,rbf,4.76,2,5.74,SVM-0096
96,1973,linear,5.8,3,3.93,SVM-0097
97,1973,poly,7.09,2,9.98,SVM-0098
98,1973,poly,0.52,5,4.13,SVM-0099
99,1973,poly,2.34,2,6.48,SVM-0100
