,ID,Accuracy,F1-Score,Recall,Precision,Time (Sec)
0,SVM-0001,1,1,1,1,39.95430069
1,SVM-0002,1,1,1,1,40.10399776
2,SVM-0003,0.99987415,0.999868432,0.999736907,1,40.04118791
3,SVM-0004,1,1,1,1,81.88649797
4,SVM-0005,1,1,1,1,119.0730646
5,SVM-0006,1,1,1,1,96.19644094
6,SVM-0007,1,1,1,1,118.897325
7,SVM-0008,1,1,1,1,106.6646421
8,SVM-0009,1,1,1,1,106.9428619
9,SVM-0010,0.99987415,0.999868432,0.999736907,1,39.80817876
10,SVM-0011,1,1,1,1,107.2616602
11,SVM-0012,1,1,1,1,64.08524489
12,SVM-0013,0.999701107,0.999687569,0.99963825,0.999736896,39.91035209
13,SVM-0014,0.998552727,0.998486528,0.998026819,0.998946702,96.31932797
14,SVM-0015,1,1,1,1,119.7691878
15,SVM-0016,1,1,1,1,105.3300035
16,SVM-0017,0.999024664,0.998980598,0.999046291,0.998915052,39.84574933
17,SVM-0018,1,1,1,1,120.0388211
18,SVM-0019,1,1,1,1,121.609953
19,SVM-0020,0.999716838,0.999704004,0.99963825,0.999769769,39.7312129
20,SVM-0021,1,1,1,1,56.97812653
21,SVM-0022,1,1,1,1,86.24447899
22,SVM-0023,1,1,1,1,97.41838832
23,SVM-0024,0.99987415,0.999868432,0.999736907,1,39.68944378
24,SVM-0025,0.999952805,0.999950665,0.999901337,1,40.33991966
25,SVM-0026,0.997813371,0.997714242,0.997632212,0.99779635,63.23021898
26,SVM-0027,1,1,1,1,39.88464289
27,SVM-0028,1,1,1,1,39.96513381
28,SVM-0029,1,1,1,1,120.7761493
29,SVM-0030,1,1,1,1,67.31739893
30,SVM-0031,1,1,1,1,119.7447886
31,SVM-0032,1,1,1,1,77.20647192
32,SVM-0033,1,1,1,1,74.93933153
33,SVM-0034,1,1,1,1,39.75413523
34,SVM-0035,1,1,1,1,79.48065062
35,SVM-0036,1,1,1,1,123.1725477
36,SVM-0037,0.99800214,0.997912686,0.998355701,0.997470163,43.76573319
37,SVM-0038,0.999937075,0.999934221,0.999868454,1,42.61367788
38,SVM-0039,0.99987415,0.999868432,0.999736907,1,41.08792191
39,SVM-0040,1,1,1,1,63.91588907
40,SVM-0041,0.99987415,0.999868432,0.999736907,1,40.00942302
41,SVM-0042,0.999811226,0.999802669,0.999736907,0.999868448,40.10807462
42,SVM-0043,1,1,1,1,120.7383633
43,SVM-0044,0.999937075,0.999934221,0.999868454,1,39.63315253
44,SVM-0045,1,1,1,1,39.93096066
45,SVM-0046,1,1,1,1,116.7619426
46,SVM-0047,1,1,1,1,120.7007775
47,SVM-0048,1,1,1,1,120.1476781
48,SVM-0049,0.999937075,0.999934221,0.999868454,1,39.92960062
49,SVM-0050,1,1,1,1,39.37890072
50,SVM-0051,1,1,1,1,106.5500181
51,SVM-0052,0.999638182,0.999621763,0.999506703,0.999736853,39.61176682
52,SVM-0053,1,1,1,1,96.44490066
53,SVM-0054,0.99973257,0.999720447,0.99963825,0.999802664,39.88242211
54,SVM-0055,1,1,1,1,120.1179311
55,SVM-0056,0.99987415,0.999868432,0.999736907,1,39.83101158
56,SVM-0057,0.999937075,0.999934221,0.999868454,1,39.95641475
57,SVM-0058,0.990246671,0.989808011,0.990068413,0.989547872,43.23909531
58,SVM-0059,1,1,1,1,107.3696498
59,SVM-0060,1,1,1,1,120.0852427
60,SVM-0061,0.999937075,0.999934221,0.999868454,1,39.86646724
61,SVM-0062,1,1,1,1,120.9543238
62,SVM-0063,1,1,1,1,92.62802429
63,SVM-0064,1,1,1,1,89.3041965
64,SVM-0065,0.999638182,0.999621763,0.999506703,0.999736853,39.74296503
65,SVM-0066,1,1,1,1,74.90110893
66,SVM-0067,1,1,1,1,120.6358433
67,SVM-0068,1,1,1,1,117.8963257
68,SVM-0069,1,1,1,1,121.2379544
69,SVM-0070,0.999417946,0.999391719,0.999539593,0.999243929,107.2197534
70,SVM-0071,0.999937075,0.999934221,0.999868454,1,40.36711998
71,SVM-0072,0.999937075,0.999934221,0.999868454,1,40.16993628
72,SVM-0073,0.997907755,0.99781365,0.99805973,0.997567784,40.63110023
73,SVM-0074,0.521646112,0,0,0,121.2441907
74,SVM-0075,0.999937075,0.999934221,0.999868454,1,39.98295379
75,SVM-0076,0.999465139,0.99944093,0.99944093,0.999440957,40.26014466
76,SVM-0077,0.993707531,0.993422677,0.993422794,0.993422908,41.66629825
77,SVM-0078,0.999590988,0.999572606,0.999868454,0.999276937,93.59579535
78,SVM-0079,0.966256612,0.964831874,0.967640065,0.962042283,54.64863257
79,SVM-0080,1,1,1,1,109.8572726
80,SVM-0081,0.99987415,0.999868432,0.999736907,1,39.89959803
81,SVM-0082,1,1,1,1,60.8069406
82,SVM-0083,1,1,1,1,121.0685009
83,SVM-0084,1,1,1,1,71.92701368
84,SVM-0085,1,1,1,1,121.0600567
85,SVM-0086,1,1,1,1,83.14989414
86,SVM-0087,0.999921343,0.999917773,0.999835564,1,39.78887968
87,SVM-0088,1,1,1,1,75.80818343
88,SVM-0089,1,1,1,1,73.78014512
89,SVM-0090,0.99144224,0.991058773,0.991482513,0.990635588,47.81605153
90,SVM-0091,1,1,1,1,89.18434172
91,SVM-0092,1,1,1,1,120.1390649
92,SVM-0093,0.999575258,0.999556012,0.999506703,0.999605339,39.71626353
93,SVM-0094,1,1,1,1,39.68811517
94,SVM-0095,1,1,1,1,116.367942
95,SVM-0096,1,1,1,1,116.9003954
96,SVM-0097,0.999795495,0.999786226,0.999704023,0.999868448,39.91855803
97,SVM-0098,1,1,1,1,62.29082584
98,SVM-0099,0.586175495,0.238586,0.135556699,0.995202339,114.8783084
99,SVM-0100,1,1,1,1,62.10408082
